bug_type,count
MAP_FROM_ISHOST_TO_TO,1
MAP_FROM_HEAP_TO_TO,1
MAP_FROM_B_TO_TO,1
MAP_FROM_A_TO_TO,1
MAP_TO_HEAP_TO_FROM,1
MAP_TOFROM_STACK_TO_TO,1
MAP_TOFROM_RESULT_TO_TO,1
MAP_TOFROM_NUM_THREADS_TO_TO,1
MAP_TOFROM_NUM_TEAMS_TO_TO,1
MAP_TOFROM_HEAP_TO_TO,1
MAP_TOFROM_D_TO_TO,1
MAP_TOFROM_DATA_TO_TO,1
D_ACCUM_PLUS_TO_MINUS,1
D_70_TO_69,1
DEVICE_TYPE_NOHOST_TO_HOST,1
DEVICE_TASK_OR_TO_AND,1
DEVICE_TASK1_OR_TO_AND,1
DEVICE_RESULT_PLUS_TO_MINUS,1
DEVICE_PTR_TO_NULL,1
DEVICE_PLUS2_TO_PLUS1,1
NUM_TEAMS_HALF_TO_DOUBLE,1
NUM_TEAMS_FIRST_VALUE_ZERO,1
NOWAIT_ARG_TO_ZERO,1
NEQ_TO_LT_N_MINUS_1,1
MULTIPLY_TO_PLUS,1
MULTIPLY2_TO_MULTIPLY3,1
MULT2_TO_MULT3,1
MULT2_TO3,1
MIN_TO_MAX,1
MEMBER_B_INIT_I_TO_ZERO,1
MAX_TO_MIN,1
MAP_TO_TO_FROM,1
MAP_TO_STACK_TO_FROM,1
MAP_TO_SINGLE_TO_ALLOC,1
MAP_TO_INPUT_TO_FROM,1
MAP_TO_INPUTS_TO_ALLOC,1
PLUS_TO_MINUS_LARGE_CAP,1
PLUS_TO_MINUS_HIGH_BW,1
PLUS_TO_MINUS_DEFAULT,1
PLUS_TO_MINUS_CGROUP,1
PLUS_I_TO_MINUS_I,1
PLUS_DEVID_TO_MINUS_DEVID,1
PLUS9_TO_PLUS8,1
PLUS5_TO_MINUS5,1
PIN_DEVICE_INITIAL_TO_DEFAULT,1
PARALLEL_VARIANT_MATCH_TO_TARGET,1
PARALLEL_MASTER_TO_PARALLEL,1
PARALLEL_MASTER_TASKLOOP_TO_PARALLEL_TASKLOOP,1
OTHERWISE_TARGET_TO_NOTHING,1
OMP_IS_INITIAL_DEVICE_TO_ONE,1
OMP_ALL_MEMORY_TO_X,1
NUM_THREADS_FIRST_VALUE_ZERO,1
C_SCALE_2_TO_3,1
C_PLUS_B_TO_MINUS_B,1
PTR_STACK_INCREMENT_TO_ASSIGN,1
PTR_STACK_INCREMENT_2_TO_1,1
PTR_HEAP_INCREMENT_TO_ASSIGN,1
PRIV_VAL_ZERO_TO_ONE,1
PRIVATIZED_MINUS_TO_PLUS,1
PRIVATIZED_INIT_ZERO_TO_ONE,1
PRIVATIZED_INIT_0_TO_1,1
PRESENT_TO_NO_PRESENT,1
PREFIX_PLUS_TO_MINUS,1
POW_EXPONENT_2_TO_3,1
PLUS_Y_TO_MINUS_Y,1
PLUS_TO_MULTIPLY_MULTI,1
PLUS_TO_MULTIPLY,1
PLUS_TO_MINUS_LOW_LAT,1
REL_OP_NEQ_TO_LT,1
REDUCTION_PLUS_TO_MULTIPLY,1
PVAL_ASSIGN_FPVAL_TO_ZERO,1
PTR_WRITE_2_PLUS_I_TO_3_PLUS_I,1
DEVICE_ANCESTOR_TO_DEFAULT,1
DEVICE_ADDRESS_TO_NULL,1
DEVICE10_TO20,1
DEFAULT_STRUCT_TO_EXPLICIT_TO,1
DEFAULTMAP_TO_TOFROM,1
DEFAULTMAP_TOFROM_TO_FIRSTPRIVATE,1
DEFAULTMAP_TOFROM_TO,1
DEFAULTMAP_OFF_SCALAR_CHAR_CHANGED,1
DEFAULTMAP_FROM_TO,1
DEFAULTMAP_FIRSTPRIVATE_TO_TOFROM,1
DEFAULTMAP_DEFAULT_TO_TO,1
DATA2_PLUS_TO_MINUS,1
REMOVE_ATOMIC_SHARE,1
REMOVE_ATOMIC_RELEASE,1
REMOVE_ATOMIC_READ,1
REMOVE_ATOMIC_CONTENDED_NONSPEC,1
REMOVE_ALWAYS_MODIFIER,1
REMOVE_ALLOCATE_THREAD,1
REMOVE_ALLOCATE_PTEAM,1
REMOVE_ALLOCATE_LOW_LAT,1
REMOVE_ALLOCATE_LOCAL,1
REMOVE_ALLOCATE_LARGE_CAP,1
REMOVE_ALLOCATE_HIGH_BW,1
REMOVE_ALLOCATE_DEFAULT,1
REMOVE_ALLOCATE_CONST,1
REMOVE_ALLOCATE_CLAUSE,1
REMOVE_ALLOCATE_CGROUP,1
REMOVE_ADJUST_ARGS,1
REMOVE_EXPLICIT_TASK,1
REMOVE_DIST_CHUNK_SIZE,1
REMOVE_DISPATCH_NOWAIT,1
REMOVE_DISPATCH,1
REMOVE_DETACH,1
REMOVE_DEPEND_OUT_Y,1
REMOVE_DEPEND_OUT_FIRST_TARGET,1
REMOVE_DEPEND_IN_XY,1
REMOVE_DEPEND_IN_C,1
REMOVE_DEPEND_INOUT,1
REMOVE_DECLARE_TARGET_LINK,1
REMOVE_DECLARE_TARGET_BLOCK,1
REMOVE_BARRIER,1
REMOVE_ATOMIC_WRITE_INIT,1
REMOVE_ATOMIC_USED_HINT,1
REMOVE_ATOMIC_UNUSED_ENUM,1
REMOVE_INTEROP_INIT_DEPEND,1
REMOVE_INTEROP_DESTROY_DEPEND,1
REMOVE_INTERCHANGE,1
REMOVE_INDIRECT,1
REMOVE_IN1_FROM_ENTER_DATA_MAP,1
REMOVE_FIRST_SINGLE,1
REMOVE_FIRSTPRIVATE_X_LOW_LAT,1
REMOVE_FIRSTPRIVATE_X_LARGE_CAP,1
REMOVE_FIRSTPRIVATE_X_HIGH_BW,1
REMOVE_FIRSTPRIVATE_X_DEFAULT,1
REMOVE_FIRSTPRIVATE_X_CONST,1
REMOVE_FIRSTPRIVATE_X_CGROUP,1
REMOVE_FIRSTPRIVATE_X,1
REMOVE_FIRSTPRIVATE_LOCAL,1
REMOVE_FIRSTPRIVATE_HOSTVAR,1
REMOVE_FILTER,1
COPY_VALUE_PLUS_ONE,1
COPY_FROM_PTR_TO_ZERO,1
COPY_DEV_PTR_TO_ZERO,1
COPY_A_TO_ZERO,1
COND_123_TO_122,1
COMPUTE_PLUS_TO_MINUS,1
REMOVE_OUT_DEPEND,1
REMOVE_OUTER_HEAP_MAP,1
REMOVE_OMP_ALL_MEMORY_DEPEND,1
REMOVE_MUTEXINOUTSET_T5,1
REMOVE_MASKED,1
REMOVE_LOOP_DIRECTIVE_TEAMS,1
REMOVE_LOCK_COUNTPRIME,1
REMOVE_LINEAR,1
REMOVE_LASTPRIVATE_SCALAR,1
REMOVE_IS_DEVICE_PTR_A,1
REMOVE_REVERSE_OFFLOAD,1
REMOVE_REVERSE,1
REMOVE_PRIVATE_X_THREAD,1
REMOVE_PRIVATE_PTEAM_RESULT,1
REMOVE_PRIVATE_FROM_SCOPE_ALLOCATE,1
REMOVE_PRIVATE_A,1
REMOVE_PARALLEL_SEVERITY_REGION,1
REMOVE_PARALLEL_MESSAGE_REGION,1
C_COMPUTE_PLUS_TO_MINUS,1
C_ASSIGN_ZERO,1
C_ADD_TO_SUB,1
C_2X_TO_3X,1
COUNT_CHECK_123_TO_122,1
COUNTER_INCREMENT_BY_TWO,1
COUNTER_INC2,1
COPY_X_TO_ZERO,1
REPLACE_EXPLICIT_TASK_QUERY_WITH_ZERO,1
REMOVE_TRANSPARENT_TASK,1
REMOVE_TASK_DEPEND_Y,1
REMOVE_TASK_DEPEND_X,1
REMOVE_TASK_DEPEND_SCALAR,1
REMOVE_TASK_DEPEND_ARRAY,1
REMOVE_TASKWAIT_NOWAIT_DEPEND,1
REMOVE_TASKWAIT_DEPEND_XY,1
REMOVE_TASKWAIT_DEPEND_X,1
REMOVE_TASKGRAPH,1
REMOVE_TARGET_UPDATE_FROM,1
REMOVE_TARGET_EXIT_DELETE,1
REMOVE_TARGET,1
REMOVE_SHARED_SUM,1
REMOVE_SCOPE_REDUCTION,1
REMOVE_SCALAR_FROM_TARGET_MAP,1
SCHEDULE_STATIC8_TO_STATIC4,1
SCALAR_PLUS53_TO_PLUS52,1
SCALAR_PLUS25_TO_PLUS24,1
SCALAR_INT_WRONG_VALUE,1
SCALAR_INT_33_TO_34,1
SCALAR_FROM_13_TO_14,1
SCALAR_ENUM_VAL4_TO_VAL3,1
SCALAR_20_TO_21,1
SCALAR_20_TO_19,1
SCALAR_1_TO_2,1
RETURN_VALUE_0_TO_1,1
RESULT_PLUS_TO_MINUS,1
RESULT_AND_TO_OR,1
RESET_INTERVAL_8_TO_4,1
REPLACE_OMP_IS_INITIAL_DEVICE_WITH_ONE,1
REPLACE_IMPLICIT_TASK_QUERY_WITH_ONE,1
B_PLUS2_TO_PLUS1,1
B_ADD_TO_SUB,1
STACK_ASSIGN_2_TO_1,1
SQUARE_TO_DOUBLE,1
SKIP_LAST_TEAM,1
SKIP_LAST_ELEMENT,1
SINGLE_A_1_TO_0,1
SHARE_SHARED_TO_PRIVATE,1
SHARE_PLUS_TO_MINUS,1
SHARE_INIT_5_TO_6,1
SEVERITY_WARNING_TO_FATAL,1
SET_TEAMS_THREAD_LIMIT_MINUS_ONE,1
SET_NUM_TEAMS_WRONG_VALUE,1
SET_NUM_TEAMS_MINUS_ONE,1
SECOND_MAP_TO_TOFROM,1
SECOND_DEVICE_TO_FIRST,1
TARGET_ACCESS_SINGLE_TO_ALL,1
SUM_INC_TO_DEC,1
STRUCT_S_7_TO_8,1
STRUCT_S_10_TO_9,1
STRUCT_SINGLE_A_ONE_TO_ZERO,1
STRUCT_COPY_B_PLUS_ONE,1
STRUCT_ARRAY_A_ONE_TO_ZERO,1
COMPUTE_INCREMENT_I_TO_I_PLUS_ONE,1
COMPARE_GT_TO_LT,1
COMPARE_GREATER_TO_LESS,1
COLLAPSE_3_TO_2,1
CHECK10_TO15,1
CAN_ASSUME_TRUE_TO_FALSE,1
CANNOT_ASSUME_FALSE_TO_TRUE,1
B_PLUS_TO_MINUS,1
B_PLUS_A_TO_MINUS_A,1
A0_5_TO_4,1
WRONG_PARALLEL_VARIANT_SELECTOR,1
WRONG_NUM_TEAMS_OVERRIDE,1
TARGET_WRITE_100_TO_99,1
TARGET_VARIANT_MATCH_TO_PARALLEL,1
TARGET_REMOVE_IN_REDUCTION,1
TARGET_MEMCPY_WRONG_DIRECTION,1
TARGET_IF_GT_TO_GE,1
TARGET_FUNCTION_PLUS1_TO_PLUS2,1
TARGET_FREE_WRONG_DEVICE,1
TARGET_DEVICE_I_TO_0,1
TARGET_DATA_IF_PROC_TO_NOTPROC,1
TARGET_DATA_IF_GT_TO_LT,1
TARGET_COMPUTE_PLUS_TO_MINUS,1
TARGET_B_2I_TO_3I,1
TARGET_ALLOC_WRONG_DEVICE,1
ADD_DEV_TO_ADD_ONE,1
ARRAY_FIELD_1_TO_0,1
ARRAY_ASSIGN_10_TO_9,1
WRONG_PREFIX_INDEX,1
X_PLUS1_TO_PLUS2,1
X_INC_TO_PLUS2,1
WRONG_ASSIGNMENT_SCALE,1
WRONG_C_ASSIGNMENT_TO_ZERO,1
WRONG_WHEN_CONTEXT,1
TOTAL_PLUS_TO_MINUS,1
TILE_SIZE_4_TO_2,1
TILE_SIZE_3_TO_4,1
TICKET_INCREMENT_TO_NOOP,1
THREAD_NUM_PLUS_ONE,1
THREAD_LIMIT_FIRST_VALUE_ZERO,1
A_ADD_I_TO_SUB_I,1
BITOR_TO_BITAND,1
BITAND_TO_BITOR,1
BIND_THREAD_TO_TEAMS,1
BIND_THREAD_TO_PARALLEL,1
WRONG_TIME_ASSIGNMENT,1
WRONG_TARGET_VARIANT_SELECTOR,1
WRONG_SCAN_UPDATE,1
WRONG_PRODUCT_OPERATOR,1
ZERO_LENGTH_POINTER_TO_FULL_MAP,1
WRONG_ARRAY_UPDATE,1
VARIANT_NOHOST_TO_HOST,1
VAL_PLUS2_TO_PLUS1,1
UPDATE_MUL3_TO_MUL2,1
UPDATE_B_X2_TO_X3,1
TWO_I_TO_I,1
ADD_NUM_THREADS_ONE,1
