bug_type,count,example_source_id,example_category,example_bug_family,example_original_statement,example_buggy_statement,suggested_mutation_type,suggested_omp_construct,suggested_bug_omp_concept,needs_review
MAP_EXIT_FROM_TO_TO_HEAD,1,tests/4.5/application_kernels/linked_list.c,application_kernels,target_mapping,#pragma omp target exit data map(from:temp[0:1]),#pragma omp target exit data map(to:temp[0:1]),CHANGE_MAPPING,application_kernels,mapping,FALSE
REMOVE_TARGET_ENTER_DATA,1,tests/5.2/declare_mapper/test_declare_mapper_present.c,declare_mapper,mapping,"#pragma omp target enter data map(to: s.len, s.data[0:s.len]) map(alloc: s.data)",/* target enter data removed */,CHANGE_MAPPING,declare_mapper,mapping,FALSE
TARGET_MAP_FROM_TO_TO,1,tests/5.0/metadirective/test_metadirective_arch_is_nvidia.c,metadirective,mapping,"#pragma omp target map(to:v1,v2) map(from:v3, target_device_num) device(default_device)","#pragma omp target map(to:v1,v2) map(to:v3, target_device_num) device(default_device)",CHANGE_MAPPING,metadirective,mapping,FALSE
TARGET_MAP_TOFROM_TO_TO,1,tests/5.1/declare_variant/test_begin_end_declare_variant.c,declare_variant,mapping,#pragma omp target map(tofrom: arr),#pragma omp target map(to: arr),CHANGE_MAPPING,declare_variant,mapping,FALSE
BITAND_TO_BITOR,1,tests/5.0/loop/test_loop_reduction_bitand.c,loop_reduction,reduction_operator,#pragma omp loop reduction(&:b),#pragma omp loop reduction(|:b),CHANGE_OPERATOR,loop,reduction_operator,FALSE
BITOR_TO_BITAND,1,tests/5.0/loop/test_loop_reduction_bitor.c,loop_reduction,reduction_operator,#pragma omp loop reduction(|:b),#pragma omp loop reduction(&:b),CHANGE_OPERATOR,loop,reduction_operator,FALSE
BITXOR_TO_BITOR,1,tests/5.0/loop/test_loop_reduction_bitxor.c,loop_reduction,reduction_operator,#pragma omp loop reduction(^:b),#pragma omp loop reduction(|:b),CHANGE_OPERATOR,loop,reduction_operator,FALSE
COMPARE_EQ_TO_NEQ,3,tests/5.1/atomic/test_atomic_fail_acquire.c,atomic,atomic_compare,if(y == 1){,if(y != 1){,CHANGE_OPERATOR,atomic,general_code,FALSE
COMPARE_GREATER_TO_LESS,1,tests/5.1/atomic/test_atomic_compare.c,atomic,atomic_compare,if(arr[i] > pmax){,if(arr[i] < pmax){,CHANGE_OPERATOR,atomic,general_code,FALSE
COMPARE_WRITE_WRONG_VALUE,4,tests/5.1/atomic/test_atomic_compare.c,atomic,atomic_compare,pmax = arr[i];,pmax = 0;,CHANGE_OPERATOR,atomic,general_code,FALSE
IF_INVERT,1,tests/4.5/taskloop/test_taskloop_if.c,taskloop,condition_semantics,#pragma omp taskloop if(M == THRESHOLD),#pragma omp taskloop if(M != THRESHOLD),CHANGE_OPERATOR,taskloop,loop,FALSE
LOGICAL_AND_TO_OR,1,tests/5.0/loop/test_loop_reduction_and.c,loop_reduction,reduction_operator,#pragma omp loop reduction(&&:result),#pragma omp loop reduction(||:result),CHANGE_OPERATOR,loop,reduction_operator,FALSE
LOGICAL_OR_TO_AND,1,tests/5.0/loop/test_loop_reduction_or.c,loop_reduction,reduction_operator,#pragma omp loop reduction(||:result),#pragma omp loop reduction(&&:result),CHANGE_OPERATOR,loop,reduction_operator,FALSE
MAX_TO_MIN,1,tests/5.0/loop/test_loop_reduction_max.c,loop_reduction,reduction_operator,#pragma omp loop reduction(max:result),#pragma omp loop reduction(min:result),CHANGE_OPERATOR,loop,reduction_operator,FALSE
MIN_TO_MAX,1,tests/5.0/loop/test_loop_reduction_min.c,loop_reduction,reduction_operator,#pragma omp loop reduction(min:result),#pragma omp loop reduction(max:result),CHANGE_OPERATOR,loop,reduction_operator,FALSE
PLUS_TO_MULTIPLY,1,tests/5.0/loop/test_loop_reduction_add.c,loop_reduction,reduction_operator,#pragma omp loop reduction(+:total),#pragma omp loop reduction(*:total),CHANGE_OPERATOR,loop,reduction,FALSE
PLUS_TO_MULTIPLY_MULTI,1,tests/5.0/loop/test_loop_reduction_add_mod.c,loop_reduction,reduction_operator,"#pragma omp loop reduction(+:n,f,d,c)","#pragma omp loop reduction(*:n,f,d,c)",CHANGE_OPERATOR,loop,reduction,FALSE
REDUCTION_PLUS_TO_MULTIPLY,1,tests/4.5/application_kernels/reduction_separated_directives.c,application_kernels,reduction_semantics,#pragma omp for reduction(+: counts_team),#pragma omp for reduction(*: counts_team),CHANGE_OPERATOR,application_kernels,reduction,FALSE
WRONG_ENV_VAR_NAME,2,tests/5.1/env_var/test_omp_places_env_ll_caches.c,env_var,env_query,"ret_val = getenv(""OMP_PLACES"");","ret_val = getenv(""OMP_PROC_BIND"");",CHANGE_RUNTIME_CALL,runtime_api,runtime_api,FALSE
WRONG_RUNTIME_QUERY,2,tests/5.1/env_var/test_omp_teams_thread_limit_env_2.c,env_var,runtime_query,env = omp_get_teams_thread_limit();,env = omp_get_thread_limit();,CHANGE_RUNTIME_CALL,teams,configuration,FALSE
WRONG_SCAN_UPDATE,1,tests/5.0/scan/test_scan.c,scan,scan,x += a[i];,x -= a[i];,CHANGE_SCAN,scan,scan,FALSE
RETURN_VALUE_0_TO_1,1,tests/5.1/runtime_calls/test_omp_display_env.c,runtime_calls,oracle_value,return 0;,return 1;,ORACLE_MUTATION,runtime_api,general_code,FALSE
WRONG_EXPECTED_MAX_TEAMS,1,tests/5.1/env_var/test_omp_num_teams_env_2.c,env_var,env_query,"OMPVV_TEST_AND_SET_VERBOSE(errors, env != 2);","OMPVV_TEST_AND_SET_VERBOSE(errors, env != 3);",ORACLE_MUTATION,teams,general_code,FALSE
WRONG_EXPECTED_OMP_PLACES,2,tests/5.1/env_var/test_omp_places_env_ll_caches.c,env_var,env_query,"test = ret_val == NULL || strcmp(ret_val, ""ll_caches"");","test = ret_val == NULL || strcmp(ret_val, ""numa_domains"");",ORACLE_MUTATION,runtime_api,runtime_api,FALSE
WRONG_EXPECTED_TEAMS_THREAD_LIMIT,1,tests/5.1/env_var/test_omp_teams_thread_limit_env_2.c,env_var,env_query,"OMPVV_TEST_AND_SET(errors, env != 2);","OMPVV_TEST_AND_SET(errors, env != 3);",ORACLE_MUTATION,teams,configuration,FALSE
PARALLEL_MASTER_TASKLOOP_SIMD_TO_PARALLEL_TASKLOOP_SIMD,1,tests/5.0/parallel_master_taskloop_simd/test_parallel_master_taskloop_simd.c,parallel_master_taskloop_simd,directive_semantics,"#pragma omp parallel master taskloop simd num_threads(OMPVV_NUM_THREADS_HOST) shared(x, y, z, num_threads)","#pragma omp parallel taskloop simd num_threads(OMPVV_NUM_THREADS_HOST) shared(x, y, z, num_threads)",REMOVE_CLAUSE,parallel_master_taskloop_simd,master,FALSE
REMOVE_ADJUST_ARGS,1,tests/5.1/declare_variant/test_declare_variant_adjust_args.c,declare_variant,variant_arguments,#pragma omp declare variant(add_dispatch) match(construct={dispatch}) adjust_args(need_device_ptr:arr),#pragma omp declare variant(add_dispatch) match(construct={dispatch}),REMOVE_CLAUSE,declare_variant,dispatch,FALSE
REMOVE_DEFAULT_FIRSTPRIVATE,2,tests/5.1/default/test_default_firstprivate_parallel.c,default,data_sharing,#pragma omp parallel default(firstprivate) num_threads(OMPVV_NUM_THREADS_HOST),#pragma omp parallel num_threads(OMPVV_NUM_THREADS_HOST),REMOVE_CLAUSE,default,data_sharing,FALSE
REMOVE_FILTER,1,tests/5.1/masked/test_masked_filter.c,masked,masked_semantics,#pragma omp masked filter(3),#pragma omp masked,REMOVE_CLAUSE,masked,general_code,FALSE
REMOVE_FIRSTPRIVATE,1,tests/5.2/scope/test_scope_firstprivate_construct.c,scope,data_sharing,#pragma omp scope firstprivate(test_int),#pragma omp scope,REMOVE_CLAUSE,scope,data_sharing,FALSE
REMOVE_PRIVATE,1,tests/5.1/scope/test_scope_private_construct.c,scope,data_sharing,#pragma omp scope private(test_int),#pragma omp scope,REMOVE_CLAUSE,scope,data_sharing,FALSE
REMOVE_PRIVATE_FROM_SCOPE_ALLOCATE,1,tests/5.2/scope/test_scope_allocate_construct.c,scope,data_sharing,#pragma omp scope private(arr) allocate(allocator(omp_low_lat_mem_alloc) : arr),#pragma omp scope allocate(allocator(omp_low_lat_mem_alloc) : arr),REMOVE_CLAUSE,scope,data_sharing,FALSE
REMOVE_REDUCTION,10,tests/5.1/taskloop/test_taskloop_grainsize_strict.c,taskloop,reduction,#pragma omp taskloop reduction(+: parallel_sum) grainsize(strict:1000),#pragma omp taskloop grainsize(strict:1000),REMOVE_CLAUSE,taskloop,reduction,FALSE
REMOVE_TRANSPARENT_CLAUSE,2,tests/6.0/task/test_task_transparent_export.c,task,transparent,"# pragma omp task shared(x, errors) transparent(omp_export)","# pragma omp task shared(x, errors)",REMOVE_CLAUSE,task,data_sharing,FALSE
REMOVE_TRANSPARENT_TASK,1,tests/6.0/task/test_task_transparent.c,task,task_semantics,# pragma omp task shared(x) transparent(omp_import),/* transparent import task removed */,REMOVE_CLAUSE,task,data_sharing,FALSE
REMOVE_ALWAYS_MODIFIER,1,tests/5.2/declare_mapper/test_declare_mapper_present.c,declare_mapper,mapping,"#pragma omp declare mapper(default:myvec_t v) map(always, present, from: v, v.len, v.data[0:v.len])","#pragma omp declare mapper(default:myvec_t v) map(present, from: v, v.len, v.data[0:v.len])",REMOVE_CONSTRUCT,declare_mapper,mapping,FALSE
REMOVE_DETACH,1,tests/5.0/task/test_task_detach.c,task,task_sync,#pragma omp task depend(out: y) detach(flag_event),#pragma omp task depend(out: y),REMOVE_CONSTRUCT,task,dependency,FALSE
REMOVE_DISPATCH,1,tests/5.1/declare_variant/test_declare_variant_adjust_args.c,declare_variant,dispatch,#pragma omp dispatch,/* dispatch removed */,REMOVE_CONSTRUCT,declare_variant,dispatch,FALSE
REMOVE_MASKED,1,tests/5.1/masked/test_masked.c,masked,masked_semantics,#pragma omp masked,/* masked removed */,REMOVE_CONSTRUCT,masked,general_code,FALSE
REMOVE_PARALLEL,3,tests/5.0/parallel_master_taskloop/test_parallel_master_taskloop.c,parallel,parallel,#pragma omp parallel,/* parallel removed */,REMOVE_CONSTRUCT,parallel_master_taskloop,general_code,FALSE
REMOVE_PARALLEL_MESSAGE_REGION,1,tests/6.0/parallel/test_parallel_message.c,parallel,parallel_directive,"#pragma omp parallel message(""Entering first parallel region."")",/* parallel message region removed */,REMOVE_CONSTRUCT,parallel,message_or_severity,FALSE
REMOVE_PARALLEL_SEVERITY_REGION,1,tests/6.0/parallel/test_parallel_severity.c,parallel,parallel_directive,"#pragma omp parallel severity(warning) message(""Entering first parallel region."")",/* parallel severity region removed */,REMOVE_CONSTRUCT,parallel,message_or_severity,FALSE
REMOVE_SCOPE_REDUCTION,1,tests/5.1/scope/test_scope_reduction_construct.c,scope,reduction,#pragma omp scope reduction(+:s),#pragma omp scope,REMOVE_CONSTRUCT,scope,reduction,FALSE
REMOVE_SHARED_SUM,1,tests/5.1/default/test_task_default_private.c,default,data_sharing,#pragma omp task shared(sum) default(private),#pragma omp task default(private),REMOVE_CONSTRUCT,default,data_sharing,FALSE
REMOVE_SINGLE,6,tests/5.1/error/test_error_at_execution.c,error,synchronization,#pragma omp single,/* single removed */,REMOVE_CONSTRUCT,error,general_code,FALSE
REMOVE_TARGET,1,tests/5.2/declare_mapper/test_declare_mapper_iterator.c,declare_mapper,mapping,#pragma omp target,/* target removed */,REMOVE_CONSTRUCT,declare_mapper,general_code,FALSE
REMOVE_TASK_DEPEND_ARRAY,1,tests/5.1/taskwait/test_task_nowait.c,taskwait,task_dependency,#pragma omp task depend(inout : test_arr) shared(test_arr),#pragma omp task shared(test_arr),REMOVE_CONSTRUCT,taskwait,dependency,FALSE
REMOVE_TASK_DEPEND_SCALAR,1,tests/5.1/taskwait/test_task_nowait.c,taskwait,task_dependency,#pragma omp task depend(inout: test_scalar) shared(test_scalar),#pragma omp task shared(test_scalar),REMOVE_CONSTRUCT,taskwait,dependency,FALSE
REMOVE_TASK_DEPEND_X,1,tests/5.0/taskwait/test_taskwait_depend.c,taskwait,task_dependency,#pragma omp task depend(inout: x) shared(x) // 1st Task,#pragma omp task shared(x) // 1st Task,REMOVE_CONSTRUCT,taskwait,dependency,FALSE
REMOVE_TASK_DEPEND_Y,1,tests/5.0/taskwait/test_taskwait_depend.c,taskwait,task_dependency,#pragma omp task depend(inout: y) shared(y) // 2nd Task,#pragma omp task shared(y) // 2nd Task,REMOVE_CONSTRUCT,taskwait,dependency,FALSE
REMOVE_DEPEND,3,tests/6.0/task/test_task_transparent_export.c,task,task_dependency,depend(out: x),,REMOVE_DEPENDENCY,task,dependency,FALSE
REMOVE_DEPEND_INOUT,1,tests/5.0/task/test_task_detach.c,task,task_dependency,#pragma omp task depend(inout: y),#pragma omp task,REMOVE_DEPENDENCY,task,dependency,FALSE
REMOVE_DEPEND_IN_C,1,tests/5.0/task/test_task_depend_mutexinoutset.c,task,task_dependency,#pragma omp task depend(in: c),#pragma omp task,REMOVE_DEPENDENCY,task,dependency,FALSE
REMOVE_DEPEND_OUT_Y,1,tests/5.1/depend/test_depend_inout_omp_all_memory.c,depend,task_dependency,#pragma omp task depend(out: y),#pragma omp task,REMOVE_DEPENDENCY,depend,dependency,FALSE
REMOVE_DOACROSS_SINK,2,tests/5.2/ordered/test_ordered_doacross.c,ordered,ordered_doacross,#pragma omp ordered doacross(sink: i-1),/* ordered doacross sink removed */,REMOVE_DEPENDENCY,ordered,dependency,FALSE
REMOVE_DOACROSS_SOURCE,2,tests/5.2/ordered/test_ordered_doacross.c,ordered,ordered_doacross,#pragma omp ordered doacross(source:),/* ordered doacross source removed */,REMOVE_DEPENDENCY,ordered,dependency,FALSE
REMOVE_IN_REDUCTION,1,tests/5.0/task/test_task_in_reduction.c,task,reduction,#pragma omp task in_reduction(+: sum),#pragma omp task,REMOVE_DEPENDENCY,task,reduction,FALSE
REMOVE_LOCK_COUNTPRIME,1,tests/4.5/task/test_task_lock.c,task,synchronization,omp_set_lock(&lock);,/* lock acquisition removed */,REMOVE_STATEMENT,task,runtime_api,FALSE
REMOVE_ATOMIC,3,tests/4.5/application_kernels/reduction_separated_directives.c,application_kernels,synchronization,#pragma omp atomic,,REMOVE_SYNCHRONIZATION,application_kernels,atomic,FALSE
REMOVE_ATOMIC_CAPTURE,1,tests/6.0/parallel/test_parallel_safesync.c,parallel,synchronization,#pragma omp atomic capture,/* atomic capture removed */,REMOVE_SYNCHRONIZATION,parallel,atomic,FALSE
REMOVE_ATOMIC_COMPARE,1,tests/5.1/atomic/test_atomic_compare.c,atomic,synchronization,#pragma omp atomic compare,/* atomic compare removed */,REMOVE_SYNCHRONIZATION,atomic,atomic,FALSE
