check_id,title,subsection_language,source_url,num_code_blocks_in_subsection,num_variants,base_code,corrected_code_1,corrected_code_2,corrected_code_3,corrected_code_4,corrected_code_5,corrected_code_6,corrected_code_7
PWD003,PWD003: Missing array range in data copy to the GPU,C,https://raw.githubusercontent.com/codee-com/open-catalog/main/Checks/PWD003/README.md,4,3,"void foo(int *a, int *b, int *sum, int size) {
  #pragma omp target map(to: a, b) map(from: sum)
  #pragma omp parallel for default(none) shared(a, b, sum, size)
  for (int i = 0; i < size; i++) {
    sum[i] = a[i] + b[i];
  }
}","void foo(int *a, int *b, int *sum, int size) {
  #pragma omp target map(to: a[0:size], b[0:size]) map(from: sum[0:size])
  #pragma omp parallel for default(none) shared(a, b, sum, size)
  for (int i = 0; i < size; i++) {
    sum[i] = a[i] + b[i];
  }
}","void foo(int *a, int *b, int *sum, int size) {
  #pragma acc data copyin(a, b) copyout(sum)
  #pragma acc parallel loop
  for (int i = 0; i < size; i++) {
    sum[i] = a[i] + b[i];
  }
}","void foo(int *a, int *b, int *sum, int size) {
  #pragma acc data copyin(a[0:size], b[0:size]) copyout(sum[0:size])
  #pragma acc parallel loop
  for (int i = 0; i < size; i++) {
    sum[i] = a[i] + b[i];
  }
}",,,,
PWD003,PWD003: Missing array range in data copy to the GPU,Fortran,https://raw.githubusercontent.com/codee-com/open-catalog/main/Checks/PWD003/README.md,3,2,"subroutine foo(a, b, sum, size)
  implicit none
  integer, dimension(*), intent(in) :: a, b
  integer, dimension(*), intent(out) :: sum
  integer, intent(in) :: size
  integer :: i

  !$omp target map(to: a, b) map(from: sum)
  !$omp parallel do default(none) private(i) shared(a, b, sum, size)
  do i = 1, size
    sum(i) = a(i) + b(i)
  end do
  !$omp end parallel do
  !$omp end target
end subroutine foo","$ gfortran --version
GNU Fortran (Debian 12.2.0-14) 12.2.0
$ gfortran foo.f90 -fopenmp
foo.f90:8:23:

    8 |   !$omp target map(to: a, b) map(from: sum)
      |                       1
Error: Assumed size array ‘a’ in MAP clause at (1)
foo.f90:8:25:

    8 |   !$omp target map(to: a, b) map(from: sum)
      |                         1
Error: Assumed size array ‘b’ in MAP clause at (1)
foo.f90:8:39:

    8 |   !$omp target map(to: a, b) map(from: sum)
      |                                       1
Error: Assumed size array ‘sum’ in MAP clause at (1)","subroutine foo(a, b, sum, size)
  implicit none
  integer, dimension(*), intent(in) :: a, b
  integer, dimension(*), intent(out) :: sum
  integer, intent(in) :: size
  integer :: i

  !$omp target map(to: a(1:size), b(1:size)) map(from: sum(1:size))
  !$omp parallel do default(none) private(i) shared(a, b, sum, size)
  do i = 1, size
    sum(i) = a(i) + b(i)
  end do
  !$omp end parallel do
  !$omp end target
end subroutine foo",,,,,
PWD004,PWD004: Out-of-memory-bounds array access,C,https://raw.githubusercontent.com/codee-com/open-catalog/main/Checks/PWD004/README.md,2,1,"void foo() {
  int A[100];
  for (int i = 0; i < 100; i++) {
    A[i + 1] = 1;
  }
}","void foo() {
  int A[100];
  for (int i = 0; i < 100; i++) {
    A[i] = 1;
  }
}",,,,,,
PWD004,PWD004: Out-of-memory-bounds array access,Fortran,https://raw.githubusercontent.com/codee-com/open-catalog/main/Checks/PWD004/README.md,2,1,"subroutine example()
  implicit none
  integer :: A(100)
  integer :: i

  do i = 1, size(A, 1)
    A(i + 1) = 1
  end do
end subroutine example","subroutine example()
  implicit none
  integer :: A(100)
  integer :: i

  do i = 1, size(A, 1)
    A(i) = 1
  end do
end subroutine example",,,,,,
PWD005,PWD005: Array range copied to or from the GPU does not cover the used range,C,https://raw.githubusercontent.com/codee-com/open-catalog/main/Checks/PWD005/README.md,2,1,"void foo() {
  int A[100], B[100], sum[100];
  #pragma omp target map(to: A[0:50], B[0:50]) map(from: sum[0:50])
  #pragma omp parallel for shared(A, B, sum)
  for (int i = 0; i < 100; i++) {
    sum[i] = A[i] + B[i];
  }
}","void foo() {
  int A[100], B[100], sum[100];
  #pragma omp target map(to: A[0:100], B[0:100]) map(from: sum[0:100])
  #pragma omp parallel for shared(A, B, sum)
  for (int i = 0; i < 100; i++) {
    sum[i] = A[i] + B[i];
  }
}",,,,,,
PWD005,PWD005: Array range copied to or from the GPU does not cover the used range,Fortran,https://raw.githubusercontent.com/codee-com/open-catalog/main/Checks/PWD005/README.md,2,1,"subroutine example()
  implicit none
  integer, dimension(100) :: A, B, sum
  integer :: i

  !$omp target map(to: A(1:50), B(1:50)) map(from: sum(1:50))
  !$omp parallel do private(i) shared(A, B, sum)
  do i = 1, size(sum, 1)
    sum(i) = A(i) + B(i)
  end do
  !$omp end target
end subroutine example","subroutine example()
  implicit none
  integer, dimension(100) :: A, B, sum
  integer :: i

  !$omp target map(to: A, B) map(from: sum)
  !$omp parallel do private(i) shared(A, B, sum)
  do i = 1, size(sum, 1)
    sum(i) = A(i) + B(i)
  end do
  !$omp end target
end subroutine example",,,,,,
PWD007,PWD007: Unprotected multithreading recurrence,C,https://raw.githubusercontent.com/codee-com/open-catalog/main/Checks/PWD007/README.md,2,1,"void foo(int *x, int *y, int size) {
  y[0] = 0;

  #pragma omp parallel for shared(x, y, size)
  for (int i = 1; i < size; i++) {
    y[i] = y[i - 1] + x[i - 1];
  }
}","void foo(int *x, int *y, int size) {
  int scan_x = 0;

  #pragma omp parallel for reduction(inscan, +:scan_x) shared(x, y, size)
  for (int i = 0; i < size; i++) {
    y[i] = scan_x;
    #pragma omp scan exclusive(scan_x)
    scan_x += x[i];
  }
}",,,,,,
PWD007,PWD007: Unprotected multithreading recurrence,Fortran,https://raw.githubusercontent.com/codee-com/open-catalog/main/Checks/PWD007/README.md,2,1,"subroutine foo(x, y)
  implicit none
  integer, intent(in) :: x(:)
  integer, intent(inout) :: y(:)
  integer :: i

  y(1) = 0

  !$omp parallel do private(i) shared(x, y)
  do i = 2, size(y, 1)
    y(i) = y(i - 1) + x(i - 1)
  end do
  !$omp end parallel do
end subroutine foo","subroutine foo(x, y)
  implicit none
  integer, intent(in) :: x(:)
  integer, intent(out) :: y(:)
  integer :: scan_x, i

  scan_x = 0

  !$omp parallel do private(i) reduction(inscan, +:scan_x) shared(x, y)
  do i = 1, size(y, 1)
    y(i) = scan_x
    !$omp scan exclusive(scan_x)
    scan_x = scan_x + x(i)
  end do
  !$omp end parallel do
end subroutine foo",,,,,,
PWD008,PWD008: Unprotected multithreading recurrence due to out-of-dimension-bounds array access,C,https://raw.githubusercontent.com/codee-com/open-catalog/main/Checks/PWD008/README.md,2,1,"void foo() {
  int A[5][5];

  #pragma omp parallel for shared(A)
  for (int i = 1; i < 5; ++i) {
    for (int j = 0; j < 5; ++j) {
      A[i][j] += A[i][j - 1];
    }
  }
}","void foo() {
  int A[5][5];

  #pragma omp parallel for shared(A)
  for (int i = 1; i < 5; ++i) {
    for (int j = 1; j < 5; ++j) {
      A[i][j] += A[i][j-1];
    }
  }
}",,,,,,
PWD008,PWD008: Unprotected multithreading recurrence due to out-of-dimension-bounds array access,Fortran,https://raw.githubusercontent.com/codee-com/open-catalog/main/Checks/PWD008/README.md,2,1,"subroutine example(A)
  implicit none
  integer, intent(inout) :: A(:, :)
  integer :: i, j

  !$omp parallel do private(i, j) shared(A)
  do j = 2, size(A, 2)
    do i = 1, size(A, 1)
      A(i, j) = A(i, j) + A(i - 1, j)
    end do
  end do
end subroutine example","subroutine example(A)
  implicit none
  integer, intent(inout) :: A(:, :)
  integer :: i, j

  !$omp parallel do private(i, j) shared(A)
  do j = 2, size(A, 2)
    do i = 2, size(A, 1)
      A(i, j) = A(i, j) + A(i - 1, j)
    end do
  end do
end subroutine example",,,,,,
PWD009,PWD009: Incorrect privatization in OpenMP parallel region,C,https://raw.githubusercontent.com/codee-com/open-catalog/main/Checks/PWD009/README.md,2,1,"void example(int m, double *A, double *B, double *C) {
  #pragma omp parallel for default(none) private(C) shared(A, B, m)
  for (int i = 0; i < m; i++) {
    double temp = A[i] * B[i];
    C[i] = C[i] + temp;
  }
}","void example(int m, double *A, double *B, double *C) {
  #pragma omp parallel for default(none) shared(A, B, C, m)
  for (int i = 0; i < m; i++) {
    double temp = A[i] * B[i];
    C[i] = C[i] + temp;
  }
}",,,,,,
PWD009,PWD009: Incorrect privatization in OpenMP parallel region,Fortran,https://raw.githubusercontent.com/codee-com/open-catalog/main/Checks/PWD009/README.md,2,1,"subroutine example(A, B, C)
  use iso_fortran_env, only: real32
  implicit none
  real(kind=real32), intent(in) :: A(:), B(:)
  real(kind=real32), intent(inout) :: C(:)
  real(kind=real32) :: temp
  integer :: i

  !$omp parallel do default(none) private(i, temp, C) shared(A, B)
  do i = 1, size(C, 1)
    temp = A(i) * B(i)
    C(i) = C(i) + temp
  end do
end subroutine example","subroutine example(A, B, C)
  use iso_fortran_env, only: real32
  implicit none
  real(kind=real32), intent(in) :: A(:), B(:)
  real(kind=real32), intent(inout) :: C(:)
  real(kind=real32) :: temp
  integer :: i

  !$omp parallel do default(none) private(i, temp) shared(A, B, C)
  do i = 1, size(C, 1)
    temp = A(i) * B(i)
    C(i) = C(i) + temp
  end do
end subroutine example",,,,,,
PWD010,PWD010: Incorrect sharing in OpenMP parallel region,C,https://raw.githubusercontent.com/codee-com/open-catalog/main/Checks/PWD010/README.md,2,1,"void example(int **result, unsigned rows, unsigned cols) {
  int i, j;

  // j is implicitly shared and it should be private!
  #pragma omp parallel for shared(result)
  for (i = 0; i < rows; i++) {
    for (j = 0; j < cols; j++) {
      result[i][j] = 0;
    }
  }
}","void example(int **result, unsigned rows, unsigned cols) {
  int i, j;

  #pragma omp parallel for default(none) shared(result) private(i, j)
  for (i = 0; i < rows; i++) {
    for (j = 0; j < cols; j++) {
      result[i][j] = 0;
    }
  }
}",,,,,,
PWD010,PWD010: Incorrect sharing in OpenMP parallel region,Fortran,https://raw.githubusercontent.com/codee-com/open-catalog/main/Checks/PWD010/README.md,2,1,"subroutine example(result)
  implicit none
  integer, intent(out) :: result(:, :)
  integer :: i, j

  !$omp parallel do shared(result)
  do j = 1, size(result, 2)
    do i = 1, size(result, 1)
      result(i, j) = 0
    end do
  end do
end subroutine example","subroutine example(result)
  implicit none
  integer, intent(out) :: result(:, :)
  integer :: i, j

  !$omp parallel do default(none) shared(result) private(i, j)
  do j = 1, size(result, 2)
    do i = 1, size(result, 1)
      result(i, j) = 0
    end do
  end do
end subroutine example",,,,,,
PWD011,PWD011: Missing OpenMP lastprivate clause,C,https://raw.githubusercontent.com/codee-com/open-catalog/main/Checks/PWD011/README.md,2,1,"double example(int m, double *A, double *B, double *C) {
  double liveOut;

  // liveOut is private but used after the loop, so it should be lastprivate
  #pragma omp parallel for private(liveOut) shared(A, B, C)
  for (int i = 0; i < m; i++) {
    liveOut = A[i] * B[i];
    C[i] = C[i] + liveOut;
  }

  liveOut += 5;
  return liveOut;
}","double example(int m, double *A, double *B, double *C) {
  double liveOut;

  #pragma omp parallel for lastprivate(liveOut) shared(A, B, C)
  for (int i = 0; i < m; i++) {
    liveOut = A[i] * B[i];
    C[i] = C[i] + liveOut;
  }

  liveOut += 5;
  return liveOut;
}",,,,,,
PWD011,PWD011: Missing OpenMP lastprivate clause,Fortran,https://raw.githubusercontent.com/codee-com/open-catalog/main/Checks/PWD011/README.md,2,1,"real function example(A, B, C)
  use iso_fortran_env, only: real32
  implicit none
  real(kind=real32), intent(in) :: A(:), B(:)
  real(kind=real32), intent(inout) :: C(:)
  real(kind=real32) :: liveOut
  integer :: i

  !$omp parallel do private(i, liveOut) shared(A, B, C)
  do i = 1, size(C, 1)
    liveOut = A(i) * B(i)
    C(i) = C(i) + liveOut
  end do

  liveOut = liveOut + 5
  example = liveOut
end function example","real function example(A, B, C)
  use iso_fortran_env, only: real32
  implicit none
  real(kind=real32), intent(in) :: A(:), B(:)
  real(kind=real32), intent(inout) :: C(:)
  real(kind=real32) :: liveOut
  integer :: i

  !$omp parallel do lastprivate(liveOut) private(i) shared(A, B, C)
  do i = 1, size(C, 1)
    liveOut = A(i) * B(i)
    C(i) = C(i) + liveOut
  end do

  liveOut = liveOut + 5
  example = liveOut
end function example",,,,,,
