bug_type,mutation_type,omp_construct,bug_omp_concept,needs_review,count,notes,example_source_id,example_original_statement,example_buggy_statement
FIRSTPRIVATE_TARGET_TO_PRIVATE,CHANGE_CLAUSE,modifiers,data_sharing,False,1,,tests/6.0/modifiers/test_directive_name_modifier.c,#pragma omp target teams distribute firstprivate(target : shared_value) num_teams(M) \,#pragma omp target teams distribute private(shared_value) num_teams(M) \
FIRSTPRIVATE_TEAMS_TO_PRIVATE,CHANGE_CLAUSE,modifiers,data_sharing,False,1,,tests/6.0/modifiers/test_directive_name_modifier.c,#pragma omp target teams distribute firstprivate(teams : shared_value) num_teams(M) \,#pragma omp target teams distribute private(shared_value) num_teams(M) \
FIRSTPRIVATE_TO_PRIVATE,CHANGE_CLAUSE,scope,data_sharing,False,2,,tests/5.2/scope/test_scope_firstprivate_construct.c,#pragma omp scope firstprivate(test_int),#pragma omp scope private(test_int)
LASTPRIVATE_TO_FIRSTPRIVATE,CHANGE_CLAUSE,taskloop,data_sharing,False,1,,tests/4.5/taskloop/test_taskloop_lastprivate.c,#pragma omp taskloop lastprivate(val),#pragma omp taskloop firstprivate(val)
LASTPRIVATE_TO_PRIVATE,CHANGE_CLAUSE,taskloop,data_sharing,False,1,,tests/4.5/taskloop/test_taskloop_lastprivate.c,#pragma omp taskloop lastprivate(val),#pragma omp taskloop private(val)
PARALLEL_MASTER_TO_PARALLEL,CHANGE_CLAUSE,parallel_master,data_sharing,False,1,,tests/5.0/parallel_master/test_parallel_master_device.c,"#pragma omp parallel master num_threads(OMPVV_NUM_THREADS_DEVICE) shared(x, y, z, num_threads)","#pragma omp parallel num_threads(OMPVV_NUM_THREADS_DEVICE) shared(x, y, z, num_threads)"
SEVERITY_WARNING_TO_FATAL,CHANGE_CLAUSE,parallel,severity,False,1,,tests/6.0/parallel/test_parallel_severity.c,"#pragma omp parallel severity(warning) message(""Entering first parallel region."")","#pragma omp parallel severity(fatal) message(""Entering first parallel region."")"
SHARED_TO_PRIVATE,CHANGE_CLAUSE,taskloop,data_sharing,False,2,,tests/4.5/taskloop/test_taskloop_shared.c,#pragma omp taskloop shared(shared_var),#pragma omp taskloop private(shared_var)
SHARE_SHARED_TO_PRIVATE,CHANGE_CLAUSE,teams,data_sharing,False,1,,tests/5.0/teams/test_team_default_shared.c,#pragma omp teams distribute default(shared) num_teams(OMPVV_NUM_TEAMS_DEVICE),#pragma omp teams distribute default(shared) private(share) num_teams(OMPVV_NUM_TEAMS_DEVICE)
THREADSET_POOL_TO_TEAM,CHANGE_CLAUSE,task,data_sharing,False,2,,tests/6.0/task/test_task_threadset_ancestor_THREADS_RESERVE.c,#pragma omp task shared(i) threadset(omp_pool),#pragma omp task shared(i) threadset(omp_team)
WRONG_PARALLEL_VARIANT_SELECTOR,CHANGE_CLAUSE,declare_variant,variant_selector,False,1,,tests/5.1/declare_variant/test_begin_end_declare_variant.c,#pragma omp begin declare variant match(construct={parallel}),#pragma omp begin declare variant match(construct={target})
WRONG_TARGET_VARIANT_SELECTOR,CHANGE_CLAUSE,declare_variant,variant_selector,False,1,,tests/5.1/declare_variant/test_begin_end_declare_variant.c,#pragma omp begin declare variant match(construct={target}),#pragma omp begin declare variant match(construct={parallel})
CANNOT_ASSUME_FALSE_TO_TRUE,CHANGE_CONDITION,assume,general_code,False,1,,tests/6.0/assume/test_assume_noopenmpconstructs.c,#define cannot_assume 0,#define cannot_assume 1
CAN_ASSUME_TRUE_TO_FALSE,CHANGE_CONDITION,assume,general_code,False,1,,tests/6.0/assume/test_assume_noopenmpconstructs.c,#define can_assume 1,#define can_assume 0
FINAL_ISFINAL_TO_NOT_ISFINAL,CHANGE_CONDITION,task,task_final,False,1,,tests/4.5/task/test_task_final.c,#pragma omp task final(isFinal),#pragma omp task final(!isFinal)
IF0_TO_IF1,CHANGE_CONDITION,task,task_if,False,1,,tests/4.5/task/test_task_ThrdPrivate.c,#pragma omp task if(0),#pragma omp task if(1)
IF_TO_ZERO,CHANGE_CONDITION,taskloop,loop,False,1,,tests/4.5/taskloop/test_taskloop_if.c,#pragma omp taskloop if(M == THRESHOLD),#pragma omp taskloop if(0)
LASTPRIVATE_CONDITIONAL_TO_LASTPRIVATE,CHANGE_CONDITION,parallel_for,data_sharing,False,1,,tests/5.0/parallel_for/test_parallel_for_lastprivate_conditional.c,#pragma omp parallel for lastprivate(conditional: x),#pragma omp parallel for lastprivate(x)
ADD_NUM_THREADS_ONE,CHANGE_CONFIGURATION,parallel,configuration,False,1,,tests/6.0/parallel/test_parallel_message.c,"#pragma omp parallel message(""Entering first parallel region."")","#pragma omp parallel num_threads(1) message(""Entering first parallel region."")"
ALIGN_64_TO_8_ALLOC,CHANGE_CONFIGURATION,target_mapping,allocator,False,1,,tests/5.1/allocate/test_omp_target_aligned_alloc_device.c,"x = (int *)omp_aligned_alloc(64, N*sizeof(int), alloc);","x = (int *)omp_aligned_alloc(8, N*sizeof(int), alloc);"
ALIGN_64_TO_8_CALLOC,CHANGE_CONFIGURATION,target_mapping,data_sharing,False,1,,tests/5.1/allocate/test_target_aligned_calloc.c,"x = (int *)omp_aligned_calloc(64, N, N*sizeof(int), omp_default_mem_alloc);","x = (int *)omp_aligned_calloc(8, N, N*sizeof(int), omp_default_mem_alloc);"
ALLOCATOR_DEFAULT_TO_NULL,CHANGE_CONFIGURATION,allocator,data_sharing,False,1,,tests/5.0/allocate/test_allocate_on_device.c,#pragma omp allocate(x) allocator(omp_default_mem_alloc),#pragma omp allocate(x) allocator(omp_null_allocator)
ALLOC_ALIGNMENT_64_TO_32,CHANGE_CONFIGURATION,allocator,allocator,False,1,,tests/5.0/allocate/test_allocate_allocator.c,"omp_alloctrait_t x_traits[1] = {{omp_atk_alignment, 64}};","omp_alloctrait_t x_traits[1] = {{omp_atk_alignment, 32}};"
ASSIGN_I_TO_ZERO,CHANGE_CONFIGURATION,target_mapping,general_code,False,6,,tests/4.5/target/test_target_map_global_arrays.c,compute_array[i] = i;,compute_array[i] = 0;
ASSIGN_PMAX_TO_ZERO,CHANGE_CONFIGURATION,atomic,general_code,False,1,,tests/5.1/atomic/test_atomic_compare_device.c,pmax = arr[i];,pmax = 0;
A_ASSIGN_I_TO_ZERO,CHANGE_CONFIGURATION,task,general_code,False,1,,tests/4.5/task/test_task_target.c,a[i] = i;,a[i] = 0;
A_DOUBLE_TO_ZERO,CHANGE_CONFIGURATION,target_mapping,general_code,False,1,,tests/5.0/target/test_target_firstprivate_device.c,A[i] = A[i] + A[i];,A[i] = 0;
CALLOC_TO_ALLOC,CHANGE_CONFIGURATION,allocator,data_sharing,False,2,,tests/5.1/allocate/test_calloc_host.c,"x = (int *)omp_calloc(64, N*sizeof(int), omp_default_mem_alloc);","x = (int *)omp_alloc(64*N*sizeof(int), omp_default_mem_alloc);"
COPY_A_TO_ZERO,CHANGE_CONFIGURATION,target_mapping,general_code,False,1,,tests/4.5/target_enter_data/test_target_enter_data_global_array.c,B[i] = A[i];,B[i] = 0;
COPY_DEV_PTR_TO_ZERO,CHANGE_CONFIGURATION,target_mapping,general_code,False,1,,tests/5.0/target/test_target_teams_is_device_ptr.c,host_data[i] = dev_ptr[i];,host_data[i] = 0;
COPY_FROM_ARRAY_TO_ZERO,CHANGE_CONFIGURATION,target_mapping,general_code,False,2,,tests/5.0/requires/test_requires_unified_shared_memory_malloc_is_device_ptr.c,anArrayCopy[i] = anArray[i];,anArrayCopy[i] = 0;
COPY_FROM_PTR_TO_ZERO,CHANGE_CONFIGURATION,target_mapping,general_code,False,1,,tests/5.0/requires/test_requires_unified_shared_memory_stack_is_device_ptr.c,anArrayCopy[i] = aPtr[i];,anArrayCopy[i] = 0;
COPY_X_TO_ZERO,CHANGE_CONFIGURATION,target_mapping,general_code,False,1,,tests/4.5/target_enter_data/test_target_enter_data_malloced_array.c,B[i] = x[i];,B[i] = 0;
DEVICE_ASSIGN_I_TO_ZERO,CHANGE_CONFIGURATION,target_mapping,general_code,False,1,,tests/4.5/target/test_target_is_device_ptr.c,array_device[i] = i;,array_device[i] = 0;
DEVICE_COPY_SOURCE_TO_ZERO,CHANGE_CONFIGURATION,target_mapping,general_code,False,1,,tests/4.5/target_data/test_target_data_map_to.c,d_array[i] = h_array_h[i];,d_array[i] = 0;
FINAL_ONE_TO_ZERO_ADVANCED,CHANGE_CONFIGURATION,task,general_code,False,1,,tests/4.5/task/test_task_final.c,#pragma omp task final(1),#pragma omp task final(0)
FINAL_ONE_TO_ZERO_NESTED,CHANGE_CONFIGURATION,task,general_code,False,1,,tests/4.5/task/test_task_final.c,#pragma omp task final(1),#pragma omp task final(0)
FINAL_TO_ZERO,CHANGE_CONFIGURATION,taskloop,loop,False,1,,tests/4.5/taskloop/test_taskloop_final.c,#pragma omp taskloop final(M == THRESHOLD),#pragma omp taskloop final(0)
GET_NUM_TEAMS_TO_GET_NUM_THREADS,CHANGE_CONFIGURATION,target_mapping,configuration,False,1,,tests/4.5/target_teams_distribute_parallel_for/test_target_teams_distribute_parallel_for_num_teams.c,num_teams[i] = omp_get_num_teams();,num_teams[i] = omp_get_num_threads();
GET_NUM_TEAMS_TO_GET_TEAM_NUM,CHANGE_CONFIGURATION,target_mapping,configuration,False,1,,tests/4.5/target_teams_distribute/test_target_teams_distribute.c,num_teams[x] = omp_get_num_teams();,num_teams[x] = omp_get_team_num();
GET_NUM_TEAMS_TO_TEAM_NUM,CHANGE_CONFIGURATION,target_mapping,configuration,False,2,,tests/5.0/target/test_target_teams_reduction.c,num_actual_teams = omp_get_num_teams();,num_actual_teams = omp_get_team_num();
GET_NUM_THREADS_TO_GET_NUM_TEAMS,CHANGE_CONFIGURATION,target_mapping,configuration,False,1,,tests/4.5/target_teams_distribute_parallel_for/test_target_teams_distribute_parallel_for_num_threads.c,num_threads[i] = omp_get_num_threads();,num_threads[i] = omp_get_num_teams();
GET_NUM_THREADS_TO_NUM_TEAMS,CHANGE_CONFIGURATION,target_mapping,configuration,False,1,,tests/4.5/target_teams_distribute/test_target_teams_distribute_thread_limit.c,num_threads = omp_get_num_threads();,num_threads = omp_get_num_teams();
GET_TEAM_NUM_TO_NUM_TEAMS,CHANGE_CONFIGURATION,target_mapping,configuration,False,1,,tests/4.5/target_teams_distribute/test_target_teams_distribute_dist_schedule.c,a[i] = omp_get_team_num();,a[i] = omp_get_num_teams();
INIT_I_TO_ZERO,CHANGE_CONFIGURATION,declare_mapper,general_code,False,2,,tests/5.0/declare_mapper/test_declare_mapper_target_struct.c,s->data[i] = i;,s->data[i] = 0;
MEMBER_B_INIT_I_TO_ZERO,CHANGE_CONFIGURATION,target_mapping,general_code,False,1,,tests/5.0/target/test_target_mapping_before_alloc.c,member.b[i] = i;,member.b[i] = 0;
NOWAIT_ARG_TO_ZERO,CHANGE_CONFIGURATION,target_mapping,mapping,False,1,,tests/6.0/target/test_target_nowait_argument.c,#pragma omp target nowait(is_deferred) map(tofrom: x),#pragma omp target nowait(0) map(tofrom: x)
NUM_TEAMS_FIRST_VALUE_ZERO,CHANGE_CONFIGURATION,target_mapping,configuration,False,1,,tests/4.5/target_teams_distribute_parallel_for/test_target_teams_distribute_parallel_for_num_teams.c,"int tested_num_teams[] = {1, 10, 100, 10000};","int tested_num_teams[] = {0, 10, 100, 10000};"
NUM_TEAMS_HALF_TO_DOUBLE,CHANGE_CONFIGURATION,target_mapping,data_sharing,False,1,,tests/4.5/target_teams_distribute/test_target_teams_distribute_num_teams.c,num_teams(default_num_teams / 2),num_teams(default_num_teams * 2)
NUM_THREADS_FIRST_VALUE_ZERO,CHANGE_CONFIGURATION,target_mapping,configuration,False,1,,tests/4.5/target_teams_distribute_parallel_for/test_target_teams_distribute_parallel_for_num_threads.c,"int tested_num_threads[] = {1, 10, 100, 10000};","int tested_num_threads[] = {0, 10, 100, 10000};"
NUM_THREADS_TO_THREAD_NUM,CHANGE_CONFIGURATION,atomic,configuration,False,2,,tests/5.0/atomic/test_atomic_num_hint_device.c,num_threads = omp_get_num_threads();,num_threads = omp_get_thread_num();
OMP_IS_INITIAL_DEVICE_TO_ONE,CHANGE_CONFIGURATION,target_mapping,runtime_api,False,1,,tests/5.0/program_control/test_omp_target_offload_env_DEFAULT.c,on_init_dev=omp_is_initial_device();,on_init_dev=1;
PRIVATIZED_INIT_ZERO_TO_ONE,CHANGE_CONFIGURATION,target_mapping,general_code,False,1,,tests/4.5/target_teams_distribute_parallel_for/test_target_teams_distribute_parallel_for_private.c,privatized = 0;,privatized = 1;
PRIVATIZED_RESET_ZERO_TO_ONE,CHANGE_CONFIGURATION,target_mapping,general_code,False,2,,tests/4.5/target_teams_distribute/test_target_teams_distribute_firstprivate.c,privatized = 0;,privatized = 1;
PRIV_VAL_ZERO_TO_ONE,CHANGE_CONFIGURATION,loop,general_code,False,1,,tests/5.0/target_parallel_loop/test_target_parallel_loop_private.c,priv_val = 0;,priv_val = 1;
PTR_ASSIGN_I_TO_ZERO,CHANGE_CONFIGURATION,target_mapping,general_code,False,3,,tests/4.5/target/test_target_map_pointer.c,p[i] = i;,p[i] = 0;
PVAL_ASSIGN_FPVAL_TO_ZERO,CHANGE_CONFIGURATION,target_mapping,general_code,False,1,,tests/4.5/target/test_target_private.c,p_val = fp_val;,p_val = 0;
REMOVE_ALLOCATE_CGROUP,CHANGE_CONFIGURATION,target_mapping,allocator,False,1,,tests/5.0/target/test_target_uses_allocators_cgroup.c,allocate(omp_cgroup_mem_alloc: x),
REMOVE_ALLOCATE_CLAUSE,CHANGE_CONFIGURATION,target_mapping,mapping,False,1,,tests/5.0/target/test_target_allocate.c,#pragma omp target uses_allocators(omp_default_mem_alloc) allocate(omp_default_mem_alloc:x) firstprivate(x) map(from: device_result),#pragma omp target uses_allocators(omp_default_mem_alloc) firstprivate(x) map(from: device_result)
REMOVE_ALLOCATE_CONST,CHANGE_CONFIGURATION,target_mapping,allocator,False,1,,tests/5.0/target/test_target_uses_allocators_const.c,allocate(omp_const_mem_alloc: x),
REMOVE_ALLOCATE_HIGH_BW,CHANGE_CONFIGURATION,target_mapping,allocator,False,1,,tests/5.0/target/test_target_uses_allocators_high_bw.c,allocate(omp_high_bw_mem_alloc: x),
REMOVE_ALLOCATE_LARGE_CAP,CHANGE_CONFIGURATION,target_mapping,mapping,False,1,,tests/5.0/target/test_target_uses_allocators_large_cap.c,#pragma omp target uses_allocators(omp_large_cap_mem_alloc) allocate(omp_large_cap_mem_alloc: x) firstprivate(x) map(from: device_result),#pragma omp target uses_allocators(omp_large_cap_mem_alloc) firstprivate(x) map(from: device_result)
REMOVE_ALLOCATE_LOCAL,CHANGE_CONFIGURATION,loop,data_sharing,False,1,,tests/5.0/teams_loop/test_target_teams_loop_allocate.c,allocate(omp_low_lat_mem_alloc: local) firstprivate(local),firstprivate(local)
REMOVE_ALLOCATE_LOW_LAT,CHANGE_CONFIGURATION,target_mapping,mapping,False,1,,tests/5.0/target/test_target_uses_allocators_low_lat.c,#pragma omp target uses_allocators(omp_low_lat_mem_alloc) allocate(omp_low_lat_mem_alloc: x) firstprivate(x) map(from: device_result),#pragma omp target uses_allocators(omp_low_lat_mem_alloc) firstprivate(x) map(from: device_result)
REMOVE_ALLOCATE_PTEAM,CHANGE_CONFIGURATION,target_mapping,mapping,False,1,,tests/5.0/target/test_target_uses_allocators_pteam.c,#pragma omp target parallel for map(from: device_result) uses_allocators(omp_pteam_mem_alloc) allocate(omp_pteam_mem_alloc: pteam_result) private(pteam_result),#pragma omp target parallel for map(from: device_result) uses_allocators(omp_pteam_mem_alloc) private(pteam_result)
REMOVE_ALLOCATE_THREAD,CHANGE_CONFIGURATION,target_mapping,mapping,False,1,,tests/5.0/target/test_target_uses_allocators_thread.c,#pragma omp target parallel uses_allocators(omp_thread_mem_alloc) allocate(omp_thread_mem_alloc: x) private(x) map(from: device_result),#pragma omp target parallel uses_allocators(omp_thread_mem_alloc) private(x) map(from: device_result)
SET_NUM_TEAMS_MINUS_ONE,CHANGE_CONFIGURATION,teams,configuration,False,1,,tests/5.1/runtime_calls/test_teams_region_routines.c,omp_set_num_teams(OMPVV_NUM_TEAMS_DEVICE);,omp_set_num_teams(OMPVV_NUM_TEAMS_DEVICE - 1);
SET_NUM_TEAMS_WRONG_VALUE,CHANGE_CONFIGURATION,teams,configuration,False,1,,tests/5.1/teams/test_teams_set_num_teams.c,omp_set_num_teams(8);,omp_set_num_teams(7);
SET_TEAMS_THREAD_LIMIT_MINUS_ONE,CHANGE_CONFIGURATION,teams,configuration,False,1,,tests/5.1/runtime_calls/test_teams_region_routines.c,omp_set_teams_thread_limit(OMPVV_NUM_THREADS_DEVICE);,omp_set_teams_thread_limit(OMPVV_NUM_THREADS_DEVICE - 1);
STRUCT_ARRAY_A_ONE_TO_ZERO,CHANGE_CONFIGURATION,target_mapping,general_code,False,1,,tests/4.5/target_enter_exit_data/test_target_enter_exit_data_struct.c,array[i].a = 1;,array[i].a = 0;
STRUCT_SINGLE_A_ONE_TO_ZERO,CHANGE_CONFIGURATION,target_mapping,general_code,False,1,,tests/4.5/target_enter_exit_data/test_target_enter_exit_data_struct.c,single.a = 1;,single.a = 0;
TARGET_ALLOC_WRONG_DEVICE,CHANGE_CONFIGURATION,application_kernels,allocator,False,1,,tests/4.5/application_kernels/omp_default_device.c,"buf1 = (double *)omp_target_alloc (sizeof(double)* N, iDev1);","buf1 = (double *)omp_target_alloc (sizeof(double)* N, omp_get_initial_device());"
THREAD_LIMIT_DOUBLE,CHANGE_CONFIGURATION,target_mapping,mapping,False,2,,tests/5.1/target/test_target_thread_limit.c,"#pragma omp target map(tofrom:num_teams,errors) thread_limit(testing_thread_limit)","#pragma omp target map(tofrom:num_teams,errors) thread_limit(testing_thread_limit*2)"
THREAD_LIMIT_FIRST_VALUE_ZERO,CHANGE_CONFIGURATION,target_mapping,configuration,False,1,,tests/4.5/target_teams_distribute_parallel_for/test_target_teams_distribute_parallel_for_thread_limit.c,"int tested_thread_limit[] = {1, 10, 100, 10000};","int tested_thread_limit[] = {0, 10, 100, 10000};"
TILE_SIZE_3_TO_4,CHANGE_CONFIGURATION,tile,general_code,False,1,,tests/5.1/tile/test_tile.c,"#pragma omp tile sizes(3, 3)","#pragma omp tile sizes(4, 4)"
TILE_SIZE_4_TO_2,CHANGE_CONFIGURATION,tile,general_code,False,1,,tests/5.1/tile/test_tile.c,"#pragma omp tile sizes(4, 4)","#pragma omp tile sizes(2, 2)"
WRONG_C_ASSIGNMENT_TO_ZERO,CHANGE_CONFIGURATION,target_mapping,general_code,False,1,,tests/4.5/target_enter_data/test_target_enter_data_if.c,c[j] = a[j] + b[j];,c[j] = 0;
WRONG_FILTER_THREAD,CHANGE_CONFIGURATION,masked,general_code,False,1,,tests/5.1/masked/test_masked_filter.c,#pragma omp masked filter(3),#pragma omp masked filter(2)
WRONG_NUM_TEAMS_OVERRIDE,CHANGE_CONFIGURATION,teams,configuration,False,1,,tests/5.1/teams/test_teams_set_num_teams.c,#pragma omp teams num_teams(OMPVV_NUM_TEAMS_HOST),#pragma omp teams num_teams(1)
A0_5_TO_4,CHANGE_CONSTANT,target_mapping,general_code,False,1,,tests/5.0/target/test_target_defaultmap_default.c,A[0] = 5; A[1] = 5;,A[0] = 4; A[1] = 5;
ARRAY_FIELD_1_TO_0,CHANGE_CONSTANT,target_mapping,general_code,False,1,,tests/4.5/target/test_target_map_struct_default.c,array[i].a = 1;,array[i].a = 0;
ASSIGN_2_TO_3,CHANGE_CONSTANT,target_mapping,general_code,False,1,,tests/5.1/target/test_target_map_iterators.c,test_lst[i][0] = 2;,test_lst[i][0] = 3;
A_ASSIGN_5_TO_4,CHANGE_CONSTANT,target_mapping,general_code,False,1,,tests/5.0/declare_target/test_declare_target_nested.c,a[i] = 5;,a[i] = 4;
COLLAPSE_3_TO_2,CHANGE_CONSTANT,loop,data_sharing,False,1,,tests/5.0/target_parallel_loop/test_target_parallel_loop_lastprivate.c,"collapse(3) lastprivate(i, j, k)","collapse(2) lastprivate(i, j, k)"
COND_123_TO_122,CHANGE_CONSTANT,target_mapping,general_code,False,1,,tests/5.0/target/test_target_parallel_for_lastprivate_conditional.c,if (k == 24 || k == 123) {,if (k == 24 || k == 122) {
COUNT_CHECK_123_TO_122,CHANGE_CONSTANT,target_mapping,general_code,False,1,,tests/5.0/target/test_target_parallel_default.c,if (count != 123) {,if (count != 122) {
C_2X_TO_3X,CHANGE_CONSTANT,target_mapping,general_code,False,1,,tests/4.5/target_update/test_target_update_from.c,c[j] = (2* b[j]);// c = 24,c[j] = (3* b[j]);// c = 24
C_SCALE_2_TO_3,CHANGE_CONSTANT,target_mapping,general_code,False,1,,tests/4.5/target_teams_distribute/test_target_teams_distribute_depend_in_in.c,c[x] += 2*(a[x] + b[x]) + d[x];,c[x] += 3*(a[x] + b[x]) + d[x];
DEVICE_DATA_14_TO_13,CHANGE_CONSTANT,target_mapping,general_code,False,1,,tests/5.0/target_data/test_target_data_use_device_addr.c,"int device_data = 14, host_data=0;","int device_data = 13, host_data=0;"
DEVICE_INCREMENT_1_TO_2,CHANGE_CONSTANT,target_mapping,general_code,False,1,,tests/4.5/target_teams_distribute_parallel_for/test_target_teams_distribute_parallel_for_if_no_modifier.c,a[i] += 1;,a[i] += 2;
FALSE_BRANCH_INCREMENT_1_TO_2,CHANGE_CONSTANT,target_mapping,configuration,False,1,,tests/4.5/target_teams_distribute_parallel_for/test_target_teams_distribute_parallel_for_if_parallel_modifier.c,a[i] += (omp_get_num_threads() != 1) ? 10 : 1;,a[i] += (omp_get_num_threads() != 1) ? 10 : 2;
FIRSTIZED_10_TO_11,CHANGE_CONSTANT,target_mapping,general_code,False,1,,tests/4.5/target_teams_distribute_parallel_for/test_target_teams_distribute_parallel_for_firstprivate.c,int firstized = 10;,int firstized = 11;
FORCE_ONE_TEAM,CHANGE_CONSTANT,teams,configuration,False,1,,tests/5.1/runtime_calls/test_teams_region_routines.c,#pragma omp teams,#pragma omp teams num_teams(1)
FUN2_RETURN_10_TO_11,CHANGE_CONSTANT,target_mapping,general_code,False,1,,tests/5.1/target/test_target_declare_indirect.c,return 10;,return 11;
HOST_BRANCH_INCREMENT_1_TO_2,CHANGE_CONSTANT,target_mapping,runtime_api,False,2,,tests/4.5/target_teams_distribute_parallel_for/test_target_teams_distribute_parallel_for_if_target_modifier.c,a[i] += (omp_is_initial_device() ? 1 : 100);,a[i] += (omp_is_initial_device() ? 2 : 100);
INDEX_MINUS_128_TO_127,CHANGE_CONSTANT,target_mapping,general_code,False,1,,tests/4.5/target_simd/test_target_simd_safelen.c,A[i-128] += A[i];,A[i-127] += A[i];
LINEAR_STEP_2_TO_1,CHANGE_CONSTANT,target_mapping,general_code,False,1,,tests/5.0/target/test_target_parallel_linear.c,#pragma omp target parallel for device(gpu) linear(val:2),#pragma omp target parallel for device(gpu) linear(val:1)
MULTIPLY_2_TO_3,CHANGE_CONSTANT,target_mapping,general_code,False,3,,tests/5.1/target/test_target_memcpy_async_depobj.c,mem_dev_cpy[i] = mem_dev_cpy[i]*2; // initialize data,mem_dev_cpy[i] = mem_dev_cpy[i]*3; // initialize data
POW_EXPONENT_2_TO_3,CHANGE_CONSTANT,target_mapping,general_code,False,1,,tests/4.5/application_kernels/qmcpack_target_math.c,"array[i] = pow((double)i,2.0);","array[i] = pow((double)i,3.0);"
PRIVATIZED_INIT_0_TO_1,CHANGE_CONSTANT,loop,general_code,False,1,,tests/5.0/loop/test_loop_private_device.c,privatized = 0;,privatized = 1;
PTR_STACK_INCREMENT_2_TO_1,CHANGE_CONSTANT,target_mapping,general_code,False,1,,tests/4.5/target_data/test_target_data_map_pointer_translation.c,ptr_h_array_s[i] += 2;,ptr_h_array_s[i] += 1;
PTR_WRITE_2_PLUS_I_TO_3_PLUS_I,CHANGE_CONSTANT,target_mapping,general_code,False,1,,tests/5.1/target/test_target_defaultmap_present_pointer.c,ptr[i] = 2+i;,ptr[i] = 3+i;
RESET_INTERVAL_8_TO_4,CHANGE_CONSTANT,target_mapping,general_code,False,1,,tests/4.5/target_teams_distribute_parallel_for/test_target_teams_distribute_parallel_for_schedule_private.c,if (j%8 == 0),if (j%4 == 0)
SCALAR_1_TO_2,CHANGE_CONSTANT,target_mapping,general_code,False,1,,tests/5.1/target_update/test_target_update_to_present.c,scalar_var = 1;,scalar_var = 2;
