bug_type,count,example_source_id,example_category,example_bug_family,example_original_statement,example_buggy_statement,suggested_mutation_type,suggested_omp_construct,suggested_bug_omp_concept,needs_review
LASTPRIVATE_TO_PRIVATE,1,tests/4.5/taskloop/test_taskloop_lastprivate.c,taskloop,data_scoping,#pragma omp taskloop lastprivate(val),#pragma omp taskloop private(val),CHANGE_CLAUSE,taskloop,data_sharing,FALSE
PARALLEL_MASTER_TO_PARALLEL,1,tests/5.0/parallel_master/test_parallel_master_device.c,parallel_master,parallel_master,"#pragma omp parallel master num_threads(OMPVV_NUM_THREADS_DEVICE) shared(x, y, z, num_threads)","#pragma omp parallel num_threads(OMPVV_NUM_THREADS_DEVICE) shared(x, y, z, num_threads)",CHANGE_CLAUSE,parallel_master,data_sharing,FALSE
SEVERITY_WARNING_TO_FATAL,1,tests/6.0/parallel/test_parallel_severity.c,parallel,parallel_clause,"#pragma omp parallel severity(warning) message(""Entering first parallel region."")","#pragma omp parallel severity(fatal) message(""Entering first parallel region."")",CHANGE_CLAUSE,parallel,severity,FALSE
SHARED_TO_PRIVATE,2,tests/4.5/taskloop/test_taskloop_shared.c,taskloop,data_sharing,#pragma omp taskloop shared(shared_var),#pragma omp taskloop private(shared_var),CHANGE_CLAUSE,taskloop,data_sharing,FALSE
SHARE_SHARED_TO_PRIVATE,1,tests/5.0/teams/test_team_default_shared.c,teams,data_sharing,#pragma omp teams distribute default(shared) num_teams(OMPVV_NUM_TEAMS_DEVICE),#pragma omp teams distribute default(shared) private(share) num_teams(OMPVV_NUM_TEAMS_DEVICE),CHANGE_CLAUSE,teams,data_sharing,FALSE
THREADSET_POOL_TO_TEAM,2,tests/6.0/task/test_task_threadset_ancestor_THREADS_RESERVE.c,task,threadset,#pragma omp task shared(i) threadset(omp_pool),#pragma omp task shared(i) threadset(omp_team),CHANGE_CLAUSE,task,data_sharing,FALSE
WRONG_PARALLEL_VARIANT_SELECTOR,1,tests/5.1/declare_variant/test_begin_end_declare_variant.c,declare_variant,variant_selection,#pragma omp begin declare variant match(construct={parallel}),#pragma omp begin declare variant match(construct={target}),CHANGE_CLAUSE,declare_variant,variant_selector,FALSE
WRONG_TARGET_VARIANT_SELECTOR,1,tests/5.1/declare_variant/test_begin_end_declare_variant.c,declare_variant,variant_selection,#pragma omp begin declare variant match(construct={target}),#pragma omp begin declare variant match(construct={parallel}),CHANGE_CLAUSE,declare_variant,variant_selector,FALSE
CANNOT_ASSUME_FALSE_TO_TRUE,1,tests/6.0/assume/test_assume_noopenmpconstructs.c,assume,assumption,#define cannot_assume 0,#define cannot_assume 1,CHANGE_CONDITION,assume,general_code,FALSE
CAN_ASSUME_TRUE_TO_FALSE,1,tests/6.0/assume/test_assume_noopenmpconstructs.c,assume,assumption,#define can_assume 1,#define can_assume 0,CHANGE_CONDITION,assume,general_code,FALSE
FINAL_ISFINAL_TO_NOT_ISFINAL,1,tests/4.5/task/test_task_final.c,task,condition_semantics,#pragma omp task final(isFinal),#pragma omp task final(!isFinal),CHANGE_CONDITION,task,task_final,FALSE
IF0_TO_IF1,1,tests/4.5/task/test_task_ThrdPrivate.c,task,condition_semantics,#pragma omp task if(0),#pragma omp task if(1),CHANGE_CONDITION,task,task_if,FALSE
IF_TO_ZERO,1,tests/4.5/taskloop/test_taskloop_if.c,taskloop,condition_semantics,#pragma omp taskloop if(M == THRESHOLD),#pragma omp taskloop if(0),CHANGE_CONDITION,taskloop,loop,FALSE
LASTPRIVATE_CONDITIONAL_TO_LASTPRIVATE,1,tests/5.0/parallel_for/test_parallel_for_lastprivate_conditional.c,parallel_for,lastprivate_semantics,#pragma omp parallel for lastprivate(conditional: x),#pragma omp parallel for lastprivate(x),CHANGE_CONDITION,parallel_for,data_sharing,FALSE
ADD_NUM_THREADS_ONE,1,tests/6.0/parallel/test_parallel_message.c,parallel,parallel_clause,"#pragma omp parallel message(""Entering first parallel region."")","#pragma omp parallel num_threads(1) message(""Entering first parallel region."")",CHANGE_CONFIGURATION,parallel,configuration,FALSE
ALIGN_64_TO_8_ALLOC,1,tests/5.1/allocate/test_omp_target_aligned_alloc_device.c,allocate,allocate,"x = (int *)omp_aligned_alloc(64, N*sizeof(int), alloc);","x = (int *)omp_aligned_alloc(8, N*sizeof(int), alloc);",CHANGE_CONFIGURATION,target_mapping,allocator,FALSE
ALIGN_64_TO_8_CALLOC,1,tests/5.1/allocate/test_target_aligned_calloc.c,allocate,allocate,"x = (int *)omp_aligned_calloc(64, N, N*sizeof(int), omp_default_mem_alloc);","x = (int *)omp_aligned_calloc(8, N, N*sizeof(int), omp_default_mem_alloc);",CHANGE_CONFIGURATION,target_mapping,data_sharing,FALSE
ALLOCATOR_DEFAULT_TO_NULL,1,tests/5.0/allocate/test_allocate_on_device.c,allocate,allocate,#pragma omp allocate(x) allocator(omp_default_mem_alloc),#pragma omp allocate(x) allocator(omp_null_allocator),CHANGE_CONFIGURATION,allocator,data_sharing,FALSE
ALLOC_ALIGNMENT_64_TO_32,1,tests/5.0/allocate/test_allocate_allocator.c,allocate,allocator_semantics,"omp_alloctrait_t x_traits[1] = {{omp_atk_alignment, 64}};","omp_alloctrait_t x_traits[1] = {{omp_atk_alignment, 32}};",CHANGE_CONFIGURATION,allocator,allocator,FALSE
ASSIGN_I_TO_ZERO,6,tests/4.5/target/test_target_map_global_arrays.c,target,loop_body,compute_array[i] = i;,compute_array[i] = 0;,CHANGE_CONFIGURATION,target_mapping,general_code,FALSE
ASSIGN_PMAX_TO_ZERO,1,tests/5.1/atomic/test_atomic_compare_device.c,atomic,loop_body,pmax = arr[i];,pmax = 0;,CHANGE_CONFIGURATION,atomic,general_code,FALSE
A_ASSIGN_I_TO_ZERO,1,tests/4.5/task/test_task_target.c,task,loop_body,a[i] = i;,a[i] = 0;,CHANGE_CONFIGURATION,task,general_code,FALSE
A_DOUBLE_TO_ZERO,1,tests/5.0/target/test_target_firstprivate_device.c,target,loop_body,A[i] = A[i] + A[i];,A[i] = 0;,CHANGE_CONFIGURATION,target_mapping,general_code,FALSE
CALLOC_TO_ALLOC,2,tests/5.1/allocate/test_calloc_host.c,allocate,memory_initialization,"x = (int *)omp_calloc(64, N*sizeof(int), omp_default_mem_alloc);","x = (int *)omp_alloc(64*N*sizeof(int), omp_default_mem_alloc);",CHANGE_CONFIGURATION,allocator,data_sharing,FALSE
COPY_A_TO_ZERO,1,tests/4.5/target_enter_data/test_target_enter_data_global_array.c,target_enter_data,loop_body,B[i] = A[i];,B[i] = 0;,CHANGE_CONFIGURATION,target_mapping,general_code,FALSE
COPY_DEV_PTR_TO_ZERO,1,tests/5.0/target/test_target_teams_is_device_ptr.c,target,loop_body,host_data[i] = dev_ptr[i];,host_data[i] = 0;,CHANGE_CONFIGURATION,target_mapping,general_code,FALSE
COPY_FROM_ARRAY_TO_ZERO,2,tests/5.0/requires/test_requires_unified_shared_memory_malloc_is_device_ptr.c,requires,loop_body,anArrayCopy[i] = anArray[i];,anArrayCopy[i] = 0;,CHANGE_CONFIGURATION,target_mapping,general_code,FALSE
COPY_FROM_PTR_TO_ZERO,1,tests/5.0/requires/test_requires_unified_shared_memory_stack_is_device_ptr.c,requires,loop_body,anArrayCopy[i] = aPtr[i];,anArrayCopy[i] = 0;,CHANGE_CONFIGURATION,target_mapping,general_code,FALSE
COPY_X_TO_ZERO,1,tests/4.5/target_enter_data/test_target_enter_data_malloced_array.c,target_enter_data,loop_body,B[i] = x[i];,B[i] = 0;,CHANGE_CONFIGURATION,target_mapping,general_code,FALSE
DEVICE_ASSIGN_I_TO_ZERO,1,tests/4.5/target/test_target_is_device_ptr.c,target,loop_body,array_device[i] = i;,array_device[i] = 0;,CHANGE_CONFIGURATION,target_mapping,general_code,FALSE
DEVICE_COPY_SOURCE_TO_ZERO,1,tests/4.5/target_data/test_target_data_map_to.c,target_data,loop_body,d_array[i] = h_array_h[i];,d_array[i] = 0;,CHANGE_CONFIGURATION,target_mapping,general_code,FALSE
FINAL_ONE_TO_ZERO_ADVANCED,1,tests/4.5/task/test_task_final.c,task,condition_semantics,#pragma omp task final(1),#pragma omp task final(0),CHANGE_CONFIGURATION,task,general_code,FALSE
FINAL_ONE_TO_ZERO_NESTED,1,tests/4.5/task/test_task_final.c,task,condition_semantics,#pragma omp task final(1),#pragma omp task final(0),CHANGE_CONFIGURATION,task,general_code,FALSE
FINAL_TO_ZERO,1,tests/4.5/taskloop/test_taskloop_final.c,taskloop,condition_semantics,#pragma omp taskloop final(M == THRESHOLD),#pragma omp taskloop final(0),CHANGE_CONFIGURATION,taskloop,loop,FALSE
GET_NUM_TEAMS_TO_GET_NUM_THREADS,1,tests/4.5/target_teams_distribute_parallel_for/test_target_teams_distribute_parallel_for_num_teams.c,target_teams_distribute_parallel_for,runtime_api,num_teams[i] = omp_get_num_teams();,num_teams[i] = omp_get_num_threads();,CHANGE_CONFIGURATION,target_mapping,configuration,FALSE
GET_NUM_TEAMS_TO_GET_TEAM_NUM,1,tests/4.5/target_teams_distribute/test_target_teams_distribute.c,target_teams_distribute,runtime_api,num_teams[x] = omp_get_num_teams();,num_teams[x] = omp_get_team_num();,CHANGE_CONFIGURATION,target_mapping,configuration,FALSE
GET_NUM_TEAMS_TO_TEAM_NUM,2,tests/5.0/target/test_target_teams_reduction.c,target,runtime_api,num_actual_teams = omp_get_num_teams();,num_actual_teams = omp_get_team_num();,CHANGE_CONFIGURATION,target_mapping,configuration,FALSE
GET_NUM_THREADS_TO_GET_NUM_TEAMS,1,tests/4.5/target_teams_distribute_parallel_for/test_target_teams_distribute_parallel_for_num_threads.c,target_teams_distribute_parallel_for,runtime_api,num_threads[i] = omp_get_num_threads();,num_threads[i] = omp_get_num_teams();,CHANGE_CONFIGURATION,target_mapping,configuration,FALSE
GET_NUM_THREADS_TO_NUM_TEAMS,1,tests/4.5/target_teams_distribute/test_target_teams_distribute_thread_limit.c,target_teams_distribute,runtime_api,num_threads = omp_get_num_threads();,num_threads = omp_get_num_teams();,CHANGE_CONFIGURATION,target_mapping,configuration,FALSE
GET_TEAM_NUM_TO_NUM_TEAMS,1,tests/4.5/target_teams_distribute/test_target_teams_distribute_dist_schedule.c,target_teams_distribute,runtime_api,a[i] = omp_get_team_num();,a[i] = omp_get_num_teams();,CHANGE_CONFIGURATION,target_mapping,configuration,FALSE
INIT_I_TO_ZERO,2,tests/5.0/declare_mapper/test_declare_mapper_target_struct.c,declare_mapper,loop_body,s->data[i] = i;,s->data[i] = 0;,CHANGE_CONFIGURATION,declare_mapper,general_code,FALSE
MEMBER_B_INIT_I_TO_ZERO,1,tests/5.0/target/test_target_mapping_before_alloc.c,target,loop_body,member.b[i] = i;,member.b[i] = 0;,CHANGE_CONFIGURATION,target_mapping,general_code,FALSE
NOWAIT_ARG_TO_ZERO,1,tests/6.0/target/test_target_nowait_argument.c,target,synchronization,#pragma omp target nowait(is_deferred) map(tofrom: x),#pragma omp target nowait(0) map(tofrom: x),CHANGE_CONFIGURATION,target_mapping,mapping,FALSE
NUM_TEAMS_FIRST_VALUE_ZERO,1,tests/4.5/target_teams_distribute_parallel_for/test_target_teams_distribute_parallel_for_num_teams.c,target_teams_distribute_parallel_for,configuration,"int tested_num_teams[] = {1, 10, 100, 10000};","int tested_num_teams[] = {0, 10, 100, 10000};",CHANGE_CONFIGURATION,target_mapping,configuration,FALSE
NUM_TEAMS_HALF_TO_DOUBLE,1,tests/4.5/target_teams_distribute/test_target_teams_distribute_num_teams.c,target_teams_distribute,configuration,num_teams(default_num_teams / 2),num_teams(default_num_teams * 2),CHANGE_CONFIGURATION,target_mapping,data_sharing,FALSE
NUM_THREADS_FIRST_VALUE_ZERO,1,tests/4.5/target_teams_distribute_parallel_for/test_target_teams_distribute_parallel_for_num_threads.c,target_teams_distribute_parallel_for,configuration,"int tested_num_threads[] = {1, 10, 100, 10000};","int tested_num_threads[] = {0, 10, 100, 10000};",CHANGE_CONFIGURATION,target_mapping,configuration,FALSE
NUM_THREADS_TO_THREAD_NUM,2,tests/5.0/atomic/test_atomic_num_hint_device.c,atomic,runtime_api,num_threads = omp_get_num_threads();,num_threads = omp_get_thread_num();,CHANGE_CONFIGURATION,atomic,configuration,FALSE
OMP_IS_INITIAL_DEVICE_TO_ONE,1,tests/5.0/program_control/test_omp_target_offload_env_DEFAULT.c,program_control,runtime_api,on_init_dev=omp_is_initial_device();,on_init_dev=1;,CHANGE_CONFIGURATION,target_mapping,runtime_api,FALSE
PRIVATIZED_INIT_ZERO_TO_ONE,1,tests/4.5/target_teams_distribute_parallel_for/test_target_teams_distribute_parallel_for_private.c,target_teams_distribute_parallel_for,loop_body,privatized = 0;,privatized = 1;,CHANGE_CONFIGURATION,target_mapping,general_code,FALSE
PRIVATIZED_RESET_ZERO_TO_ONE,2,tests/4.5/target_teams_distribute/test_target_teams_distribute_firstprivate.c,target_teams_distribute,loop_body,privatized = 0;,privatized = 1;,CHANGE_CONFIGURATION,target_mapping,general_code,FALSE
PRIV_VAL_ZERO_TO_ONE,1,tests/5.0/target_parallel_loop/test_target_parallel_loop_private.c,target_parallel_loop,loop_body,priv_val = 0;,priv_val = 1;,CHANGE_CONFIGURATION,loop,general_code,FALSE
PTR_ASSIGN_I_TO_ZERO,3,tests/4.5/target/test_target_map_pointer.c,target,loop_body,p[i] = i;,p[i] = 0;,CHANGE_CONFIGURATION,target_mapping,general_code,FALSE
PVAL_ASSIGN_FPVAL_TO_ZERO,1,tests/4.5/target/test_target_private.c,target,loop_body,p_val = fp_val;,p_val = 0;,CHANGE_CONFIGURATION,target_mapping,general_code,FALSE
REMOVE_ALLOCATE_CGROUP,1,tests/5.0/target/test_target_uses_allocators_cgroup.c,target,allocate,allocate(omp_cgroup_mem_alloc: x),,CHANGE_CONFIGURATION,target_mapping,allocator,FALSE
REMOVE_ALLOCATE_CLAUSE,1,tests/5.0/target/test_target_allocate.c,target,allocate,#pragma omp target uses_allocators(omp_default_mem_alloc) allocate(omp_default_mem_alloc:x) firstprivate(x) map(from: device_result),#pragma omp target uses_allocators(omp_default_mem_alloc) firstprivate(x) map(from: device_result),CHANGE_CONFIGURATION,target_mapping,mapping,FALSE
REMOVE_ALLOCATE_CONST,1,tests/5.0/target/test_target_uses_allocators_const.c,target,allocate,allocate(omp_const_mem_alloc: x),,CHANGE_CONFIGURATION,target_mapping,allocator,FALSE
REMOVE_ALLOCATE_HIGH_BW,1,tests/5.0/target/test_target_uses_allocators_high_bw.c,target,allocate,allocate(omp_high_bw_mem_alloc: x),,CHANGE_CONFIGURATION,target_mapping,allocator,FALSE
REMOVE_ALLOCATE_LARGE_CAP,1,tests/5.0/target/test_target_uses_allocators_large_cap.c,target,allocate,#pragma omp target uses_allocators(omp_large_cap_mem_alloc) allocate(omp_large_cap_mem_alloc: x) firstprivate(x) map(from: device_result),#pragma omp target uses_allocators(omp_large_cap_mem_alloc) firstprivate(x) map(from: device_result),CHANGE_CONFIGURATION,target_mapping,mapping,FALSE
REMOVE_ALLOCATE_LOCAL,1,tests/5.0/teams_loop/test_target_teams_loop_allocate.c,teams_loop,allocate,allocate(omp_low_lat_mem_alloc: local) firstprivate(local),firstprivate(local),CHANGE_CONFIGURATION,loop,data_sharing,FALSE
REMOVE_ALLOCATE_LOW_LAT,1,tests/5.0/target/test_target_uses_allocators_low_lat.c,target,allocate,#pragma omp target uses_allocators(omp_low_lat_mem_alloc) allocate(omp_low_lat_mem_alloc: x) firstprivate(x) map(from: device_result),#pragma omp target uses_allocators(omp_low_lat_mem_alloc) firstprivate(x) map(from: device_result),CHANGE_CONFIGURATION,target_mapping,mapping,FALSE
REMOVE_ALLOCATE_PTEAM,1,tests/5.0/target/test_target_uses_allocators_pteam.c,target,allocate,#pragma omp target parallel for map(from: device_result) uses_allocators(omp_pteam_mem_alloc) allocate(omp_pteam_mem_alloc: pteam_result) private(pteam_result),#pragma omp target parallel for map(from: device_result) uses_allocators(omp_pteam_mem_alloc) private(pteam_result),CHANGE_CONFIGURATION,target_mapping,mapping,FALSE
REMOVE_ALLOCATE_THREAD,1,tests/5.0/target/test_target_uses_allocators_thread.c,target,allocate,#pragma omp target parallel uses_allocators(omp_thread_mem_alloc) allocate(omp_thread_mem_alloc: x) private(x) map(from: device_result),#pragma omp target parallel uses_allocators(omp_thread_mem_alloc) private(x) map(from: device_result),CHANGE_CONFIGURATION,target_mapping,mapping,FALSE
SET_NUM_TEAMS_MINUS_ONE,1,tests/5.1/runtime_calls/test_teams_region_routines.c,runtime_calls,runtime_call,omp_set_num_teams(OMPVV_NUM_TEAMS_DEVICE);,omp_set_num_teams(OMPVV_NUM_TEAMS_DEVICE - 1);,CHANGE_CONFIGURATION,teams,configuration,FALSE
SET_NUM_TEAMS_WRONG_VALUE,1,tests/5.1/teams/test_teams_set_num_teams.c,teams,runtime_call,omp_set_num_teams(8);,omp_set_num_teams(7);,CHANGE_CONFIGURATION,teams,configuration,FALSE
SET_TEAMS_THREAD_LIMIT_MINUS_ONE,1,tests/5.1/runtime_calls/test_teams_region_routines.c,runtime_calls,runtime_call,omp_set_teams_thread_limit(OMPVV_NUM_THREADS_DEVICE);,omp_set_teams_thread_limit(OMPVV_NUM_THREADS_DEVICE - 1);,CHANGE_CONFIGURATION,teams,configuration,FALSE
STRUCT_ARRAY_A_ONE_TO_ZERO,1,tests/4.5/target_enter_exit_data/test_target_enter_exit_data_struct.c,target_enter_exit_data,loop_body,array[i].a = 1;,array[i].a = 0;,CHANGE_CONFIGURATION,target_mapping,general_code,FALSE
STRUCT_SINGLE_A_ONE_TO_ZERO,1,tests/4.5/target_enter_exit_data/test_target_enter_exit_data_struct.c,target_enter_exit_data,loop_body,single.a = 1;,single.a = 0;,CHANGE_CONFIGURATION,target_mapping,general_code,FALSE
TARGET_ALLOC_WRONG_DEVICE,1,tests/4.5/application_kernels/omp_default_device.c,application_kernels,runtime_api,"buf1 = (double *)omp_target_alloc (sizeof(double)* N, iDev1);","buf1 = (double *)omp_target_alloc (sizeof(double)* N, omp_get_initial_device());",CHANGE_CONFIGURATION,application_kernels,allocator,FALSE
THREAD_LIMIT_DOUBLE,2,tests/5.1/target/test_target_thread_limit.c,target,target_configuration,"#pragma omp target map(tofrom:num_teams,errors) thread_limit(testing_thread_limit)","#pragma omp target map(tofrom:num_teams,errors) thread_limit(testing_thread_limit*2)",CHANGE_CONFIGURATION,target_mapping,mapping,FALSE
THREAD_LIMIT_FIRST_VALUE_ZERO,1,tests/4.5/target_teams_distribute_parallel_for/test_target_teams_distribute_parallel_for_thread_limit.c,target_teams_distribute_parallel_for,configuration,"int tested_thread_limit[] = {1, 10, 100, 10000};","int tested_thread_limit[] = {0, 10, 100, 10000};",CHANGE_CONFIGURATION,target_mapping,configuration,FALSE
TILE_SIZE_3_TO_4,1,tests/5.1/tile/test_tile.c,tile,tile_clause,"#pragma omp tile sizes(3, 3)","#pragma omp tile sizes(4, 4)",CHANGE_CONFIGURATION,tile,general_code,FALSE
TILE_SIZE_4_TO_2,1,tests/5.1/tile/test_tile.c,tile,tile_clause,"#pragma omp tile sizes(4, 4)","#pragma omp tile sizes(2, 2)",CHANGE_CONFIGURATION,tile,general_code,FALSE
WRONG_C_ASSIGNMENT_TO_ZERO,1,tests/4.5/target_enter_data/test_target_enter_data_if.c,target_enter_data,loop_body,c[j] = a[j] + b[j];,c[j] = 0;,CHANGE_CONFIGURATION,target_mapping,general_code,FALSE
WRONG_FILTER_THREAD,1,tests/5.1/masked/test_masked_filter.c,masked,masked_semantics,#pragma omp masked filter(3),#pragma omp masked filter(2),CHANGE_CONFIGURATION,masked,general_code,FALSE
WRONG_NUM_TEAMS_OVERRIDE,1,tests/5.1/teams/test_teams_set_num_teams.c,teams,teams_configuration,#pragma omp teams num_teams(OMPVV_NUM_TEAMS_HOST),#pragma omp teams num_teams(1),CHANGE_CONFIGURATION,teams,configuration,FALSE
A0_5_TO_4,1,tests/5.0/target/test_target_defaultmap_default.c,target,loop_body,A[0] = 5; A[1] = 5;,A[0] = 4; A[1] = 5;,CHANGE_CONSTANT,target_mapping,general_code,FALSE
ARRAY_FIELD_1_TO_0,1,tests/4.5/target/test_target_map_struct_default.c,target,loop_body,array[i].a = 1;,array[i].a = 0;,CHANGE_CONSTANT,target_mapping,general_code,FALSE
ASSIGN_2_TO_3,1,tests/5.1/target/test_target_map_iterators.c,target,loop_body,test_lst[i][0] = 2;,test_lst[i][0] = 3;,CHANGE_CONSTANT,target_mapping,general_code,FALSE
A_ASSIGN_5_TO_4,1,tests/5.0/declare_target/test_declare_target_nested.c,declare_target,loop_body,a[i] = 5;,a[i] = 4;,CHANGE_CONSTANT,target_mapping,general_code,FALSE
COLLAPSE_3_TO_2,1,tests/5.0/target_parallel_loop/test_target_parallel_loop_lastprivate.c,target_parallel_loop,loop_collapse,"collapse(3) lastprivate(i, j, k)","collapse(2) lastprivate(i, j, k)",CHANGE_CONSTANT,loop,data_sharing,FALSE
COND_123_TO_122,1,tests/5.0/target/test_target_parallel_for_lastprivate_conditional.c,target,condition,if (k == 24 || k == 123) {,if (k == 24 || k == 122) {,CHANGE_CONSTANT,target_mapping,general_code,FALSE
COUNT_CHECK_123_TO_122,1,tests/5.0/target/test_target_parallel_default.c,target,condition,if (count != 123) {,if (count != 122) {,CHANGE_CONSTANT,target_mapping,general_code,FALSE
C_2X_TO_3X,1,tests/4.5/target_update/test_target_update_from.c,target_update,loop_body,c[j] = (2* b[j]);// c = 24,c[j] = (3* b[j]);// c = 24,CHANGE_CONSTANT,target_mapping,general_code,FALSE
C_SCALE_2_TO_3,1,tests/4.5/target_teams_distribute/test_target_teams_distribute_depend_in_in.c,target_teams_distribute,loop_body,c[x] += 2*(a[x] + b[x]) + d[x];,c[x] += 3*(a[x] + b[x]) + d[x];,CHANGE_CONSTANT,target_mapping,general_code,FALSE
DEVICE_DATA_14_TO_13,1,tests/5.0/target_data/test_target_data_use_device_addr.c,target_data,loop_body,"int device_data = 14, host_data=0;","int device_data = 13, host_data=0;",CHANGE_CONSTANT,target_mapping,general_code,FALSE
DEVICE_INCREMENT_1_TO_2,1,tests/4.5/target_teams_distribute_parallel_for/test_target_teams_distribute_parallel_for_if_no_modifier.c,target_teams_distribute_parallel_for,loop_body,a[i] += 1;,a[i] += 2;,CHANGE_CONSTANT,target_mapping,general_code,FALSE
FALSE_BRANCH_INCREMENT_1_TO_2,1,tests/4.5/target_teams_distribute_parallel_for/test_target_teams_distribute_parallel_for_if_parallel_modifier.c,target_teams_distribute_parallel_for,loop_body,a[i] += (omp_get_num_threads() != 1) ? 10 : 1;,a[i] += (omp_get_num_threads() != 1) ? 10 : 2;,CHANGE_CONSTANT,target_mapping,configuration,FALSE
FIRSTIZED_10_TO_11,1,tests/4.5/target_teams_distribute_parallel_for/test_target_teams_distribute_parallel_for_firstprivate.c,target_teams_distribute_parallel_for,loop_body,int firstized = 10;,int firstized = 11;,CHANGE_CONSTANT,target_mapping,general_code,FALSE
